[rosmaster.main][INFO] 2017-09-19 18:46:59,080: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-19 18:46:59,080: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-19 18:46:59,081: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-19 18:46:59,081: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-19 18:46:59,081: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-19 18:46:59,081: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-19 18:46:59,156: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:59,158: +PARAM [/roslaunch/uris/host_ubuntu__40396] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:59,242: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:59,242: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:59,243: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 18:46:59,327: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41197/
[rosmaster.master][INFO] 2017-09-19 18:46:59,336: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41197/
[rosmaster.master][INFO] 2017-09-19 18:46:59,341: +PUB [/rosout_agg] /rosout http://ubuntu:41197/
[rosmaster.master][INFO] 2017-09-19 18:46:59,375: +SUB [/rosout] /rosout http://ubuntu:41197/
[rosmaster.master][INFO] 2017-09-19 18:46:59,423: +PUB [/rosout] /image_converter http://ubuntu:34077/
[rosmaster.master][INFO] 2017-09-19 18:46:59,425: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:34077/
[rosmaster.master][INFO] 2017-09-19 18:46:59,430: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:34077/
[rosmaster.master][INFO] 2017-09-19 18:46:59,482: publisherUpdate[/rosout] -> http://ubuntu:41197/ ['http://ubuntu:34077/']
[rosmaster.master][INFO] 2017-09-19 18:46:59,483: publisherUpdate[/rosout] -> http://ubuntu:41197/ ['http://ubuntu:34077/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 18:46:59,524: +PUB [/rosout] /view http://ubuntu:39436/
[rosmaster.master][INFO] 2017-09-19 18:46:59,526: +SERVICE [/view/get_loggers] /view http://ubuntu:39436/
[rosmaster.master][INFO] 2017-09-19 18:46:59,527: +SERVICE [/view/set_logger_level] /view http://ubuntu:39436/
[rosmaster.master][INFO] 2017-09-19 18:46:59,538: +SUB [/tf] /view http://ubuntu:39436/
[rosmaster.master][INFO] 2017-09-19 18:46:59,561: +SUB [/tf_static] /view http://ubuntu:39436/
[rosmaster.master][INFO] 2017-09-19 18:46:59,583: publisherUpdate[/rosout] -> http://ubuntu:41197/ ['http://ubuntu:34077/', 'http://ubuntu:39436/']
[rosmaster.master][INFO] 2017-09-19 18:46:59,584: publisherUpdate[/rosout] -> http://ubuntu:41197/ ['http://ubuntu:34077/', 'http://ubuntu:39436/']: sec=0.00, result=[1, '', 0]
