[rosmaster.main][INFO] 2017-09-13 16:45:20,723: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:45:20,723: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:45:20,723: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:45:20,724: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:45:20,724: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:45:20,724: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:45:20,833: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:45:20,851: +PARAM [/roslaunch/uris/host_ubuntu__45046] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:45:20,932: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:45:20,932: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:45:21,093: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39463/
[rosmaster.master][INFO] 2017-09-13 16:45:21,100: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39463/
[rosmaster.master][INFO] 2017-09-13 16:45:21,109: +PUB [/rosout_agg] /rosout http://ubuntu:39463/
[rosmaster.master][INFO] 2017-09-13 16:45:21,132: +SUB [/rosout] /rosout http://ubuntu:39463/
[rosmaster.master][INFO] 2017-09-13 16:45:21,192: +PUB [/rosout] /image_converter http://ubuntu:36901/
[rosmaster.master][INFO] 2017-09-13 16:45:21,195: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36901/
[rosmaster.master][INFO] 2017-09-13 16:45:21,196: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36901/
[rosmaster.master][INFO] 2017-09-13 16:45:21,228: publisherUpdate[/rosout] -> http://ubuntu:39463/ ['http://ubuntu:36901/']
[rosmaster.master][INFO] 2017-09-13 16:45:21,230: publisherUpdate[/rosout] -> http://ubuntu:39463/ ['http://ubuntu:36901/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:45:21,307: +PUB [/rosout] /view http://ubuntu:43891/
[rosmaster.master][INFO] 2017-09-13 16:45:21,309: +SERVICE [/view/get_loggers] /view http://ubuntu:43891/
