[rosmaster.main][INFO] 2017-09-13 16:23:54,802: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:23:54,802: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:23:54,803: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-13 16:23:54,803: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:23:54,803: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:23:54,803: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:23:54,837: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:23:54,838: +PARAM [/roslaunch/uris/host_ubuntu__41620] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:23:54,901: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:23:54,901: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:23:54,994: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42162/
[rosmaster.master][INFO] 2017-09-13 16:23:54,995: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42162/
[rosmaster.master][INFO] 2017-09-13 16:23:55,004: +PUB [/rosout_agg] /rosout http://ubuntu:42162/
[rosmaster.master][INFO] 2017-09-13 16:23:55,035: +SUB [/rosout] /rosout http://ubuntu:42162/
[rosmaster.master][INFO] 2017-09-13 16:23:55,138: +PUB [/rosout] /image_converter http://ubuntu:34798/
[rosmaster.master][INFO] 2017-09-13 16:23:55,141: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:34798/
[rosmaster.master][INFO] 2017-09-13 16:23:55,143: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:34798/
[rosmaster.master][INFO] 2017-09-13 16:23:55,204: publisherUpdate[/rosout] -> http://ubuntu:42162/ ['http://ubuntu:34798/']
[rosmaster.master][INFO] 2017-09-13 16:23:55,205: publisherUpdate[/rosout] -> http://ubuntu:42162/ ['http://ubuntu:34798/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:23:55,267: +PUB [/rosout] /view http://ubuntu:39695/
[rosmaster.master][INFO] 2017-09-13 16:23:55,268: +SERVICE [/view/get_loggers] /view http://ubuntu:39695/
[rosmaster.master][INFO] 2017-09-13 16:23:55,268: +SERVICE [/view/set_logger_level] /view http://ubuntu:39695/
[rosmaster.master][INFO] 2017-09-13 16:23:55,286: +SUB [/tf] /view http://ubuntu:39695/
[rosmaster.master][INFO] 2017-09-13 16:23:55,305: publisherUpdate[/rosout] -> http://ubuntu:42162/ ['http://ubuntu:34798/', 'http://ubuntu:39695/']
