[rosmaster.main][INFO] 2017-09-26 18:53:10,230: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:53:10,230: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:53:10,231: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:53:10,231: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:53:10,231: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:53:10,231: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:53:10,270: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:53:10,271: +PARAM [/roslaunch/uris/host_ubuntu__46542] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:53:10,339: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:53:10,339: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:53:10,339: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:53:10,360: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37759/
[rosmaster.master][INFO] 2017-09-26 18:53:10,361: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37759/
[rosmaster.master][INFO] 2017-09-26 18:53:10,363: +PUB [/rosout_agg] /rosout http://ubuntu:37759/
[rosmaster.master][INFO] 2017-09-26 18:53:10,373: +SUB [/rosout] /rosout http://ubuntu:37759/
[rosmaster.master][INFO] 2017-09-26 18:53:10,475: +PUB [/rosout] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,476: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,477: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,529: +PUB [/rosout] /camera http://ubuntu:33006/
[rosmaster.master][INFO] 2017-09-26 18:53:10,530: +SERVICE [/camera/get_loggers] /camera http://ubuntu:33006/
[rosmaster.master][INFO] 2017-09-26 18:53:10,531: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/']
[rosmaster.master][INFO] 2017-09-26 18:53:10,535: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:53:10,535: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/', 'http://ubuntu:33006/']
[rosmaster.master][INFO] 2017-09-26 18:53:10,536: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/', 'http://ubuntu:33006/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:53:10,536: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:33006/
[rosmaster.master][INFO] 2017-09-26 18:53:10,547: +PUB [/rosout] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,551: +SERVICE [/view/get_loggers] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,563: +SERVICE [/view/set_logger_level] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,583: +SUB [/tf] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,592: +SUB [/tf_static] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,632: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/', 'http://ubuntu:33006/', 'http://ubuntu:34590/']
[rosmaster.master][INFO] 2017-09-26 18:53:10,633: publisherUpdate[/rosout] -> http://ubuntu:37759/ ['http://ubuntu:40611/', 'http://ubuntu:33006/', 'http://ubuntu:34590/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:53:10,643: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:33006/
[rosmaster.master][INFO] 2017-09-26 18:53:10,669: +PUB [/image/screenpoint] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,670: +PUB [/image/screenpoint_array] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,671: +PUB [/image/screenrectangle] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,672: +PUB [/image/screenrectangle_image] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,673: +PUB [/image/movepoint] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,674: +PUB [/image/foreground] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,679: +PUB [/image/background] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,681: +PUB [/image/foreground_rect] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,682: +PUB [/image/background_rect] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,683: +SUB [/camera/image_raw] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,687: +PUB [/image/line] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,693: +PUB [/image/poly] /view http://ubuntu:34590/
[rosmaster.master][INFO] 2017-09-26 18:53:10,772: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,775: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,776: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,777: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:40611/
[rosmaster.master][INFO] 2017-09-26 18:53:10,783: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:53:10,787: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
