[rosmaster.main][INFO] 2017-10-04 13:07:17,664: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:07:17,665: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:07:17,665: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:07:17,666: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:07:17,666: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:07:17,666: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:07:17,722: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:07:17,738: +PARAM [/roslaunch/uris/host_ubuntu__38150] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:07:17,808: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:07:17,808: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:07:17,808: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:07:17,821: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33692/
[rosmaster.master][INFO] 2017-10-04 13:07:17,822: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33692/
[rosmaster.master][INFO] 2017-10-04 13:07:17,828: +PUB [/rosout_agg] /rosout http://ubuntu:33692/
[rosmaster.master][INFO] 2017-10-04 13:07:17,853: +SUB [/rosout] /rosout http://ubuntu:33692/
[rosmaster.master][INFO] 2017-10-04 13:07:17,948: +PUB [/rosout] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:17,949: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:17,950: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:17,967: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/']
[rosmaster.master][INFO] 2017-10-04 13:07:17,969: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:07:17,994: +PUB [/rosout] /camera http://ubuntu:46204/
[rosmaster.master][INFO] 2017-10-04 13:07:17,995: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46204/
[rosmaster.master][INFO] 2017-10-04 13:07:17,996: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46204/
[rosmaster.master][INFO] 2017-10-04 13:07:18,033: +PUB [/rosout] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,034: +SERVICE [/view/get_loggers] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,035: +SERVICE [/view/set_logger_level] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,044: +SUB [/tf] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,054: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46204/
[rosmaster.master][INFO] 2017-10-04 13:07:18,061: +SUB [/tf_static] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,068: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/', 'http://ubuntu:46204/']
[rosmaster.master][INFO] 2017-10-04 13:07:18,069: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/', 'http://ubuntu:46204/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:07:18,069: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/', 'http://ubuntu:46204/', 'http://ubuntu:41775/']
[rosmaster.master][INFO] 2017-10-04 13:07:18,072: publisherUpdate[/rosout] -> http://ubuntu:33692/ ['http://ubuntu:45419/', 'http://ubuntu:46204/', 'http://ubuntu:41775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:07:18,102: +SUB [/camera/image_raw] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:18,112: +PUB [/image/screenpoint] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,113: +PUB [/image/screenpoint_array] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,113: +PUB [/image/screenrectangle] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,114: +PUB [/image/screenrectangle_image] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,115: +PUB [/image/movepoint] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,115: +PUB [/image/foreground] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,116: +PUB [/image/background] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,117: +PUB [/image/foreground_rect] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,118: +PUB [/image/background_rect] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,120: +PUB [/image/line] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,121: +PUB [/image/poly] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,169: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:18,170: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:18,172: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:18,173: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:45419/
[rosmaster.master][INFO] 2017-10-04 13:07:18,176: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,177: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,180: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,181: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,182: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,184: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:07:18,207: +PUB [/image_marked/compressedDepth] /view http://ubuntu:41775/
[rosmaster.master][INFO] 2017-10-04 13:07:18,208: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:41775/
