[rosmaster.main][INFO] 2017-09-25 17:21:21,902: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:21:21,903: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:21:21,907: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-25 17:21:21,907: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:21:21,907: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:21:21,907: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:21:21,914: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:21,915: +PARAM [/roslaunch/uris/host_ubuntu__41192] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:22,010: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:22,010: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:22,010: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:22,095: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45017/
[rosmaster.master][INFO] 2017-09-25 17:21:22,097: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45017/
[rosmaster.master][INFO] 2017-09-25 17:21:22,101: +PUB [/rosout_agg] /rosout http://ubuntu:45017/
[rosmaster.master][INFO] 2017-09-25 17:21:22,130: +SUB [/rosout] /rosout http://ubuntu:45017/
[rosmaster.master][INFO] 2017-09-25 17:21:22,203: +PUB [/rosout] /mask_orange http://ubuntu:36773/
[rosmaster.master][INFO] 2017-09-25 17:21:22,208: publisherUpdate[/rosout] -> http://ubuntu:45017/ ['http://ubuntu:36773/']
[rosmaster.master][INFO] 2017-09-25 17:21:22,209: publisherUpdate[/rosout] -> http://ubuntu:45017/ ['http://ubuntu:36773/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:21:22,210: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:36773/
[rosmaster.master][INFO] 2017-09-25 17:21:22,211: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:36773/
[rosmaster.master][INFO] 2017-09-25 17:21:22,233: +PUB [/rosout] /camera http://ubuntu:34899/
[rosmaster.master][INFO] 2017-09-25 17:21:22,235: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34899/
[rosmaster.master][INFO] 2017-09-25 17:21:22,236: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34899/
[rosmaster.master][INFO] 2017-09-25 17:21:22,261: +PUB [/rosout] /view http://ubuntu:38569/
[rosmaster.master][INFO] 2017-09-25 17:21:22,262: +SERVICE [/view/get_loggers] /view http://ubuntu:38569/
[rosmaster.master][INFO] 2017-09-25 17:21:22,263: +SERVICE [/view/set_logger_level] /view http://ubuntu:38569/
[rosmaster.master][INFO] 2017-09-25 17:21:22,273: +SUB [/tf] /view http://ubuntu:38569/
[rosmaster.master][INFO] 2017-09-25 17:21:22,287: +SUB [/tf_static] /view http://ubuntu:38569/
[rosmaster.master][INFO] 2017-09-25 17:21:22,296: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:34899/
[rosmaster.master][INFO] 2017-09-25 17:21:22,301: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:57543
[rosmaster.master][INFO] 2017-09-25 17:21:22,309: publisherUpdate[/rosout] -> http://ubuntu:45017/ ['http://ubuntu:36773/', 'http://ubuntu:34899/']
[rosmaster.master][INFO] 2017-09-25 17:21:22,310: publisherUpdate[/rosout] -> http://ubuntu:45017/ ['http://ubuntu:36773/', 'http://ubuntu:34899/']: sec=0.00, result=[1, '', 0]
