[rosmaster.main][INFO] 2017-09-19 16:16:55,396: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-19 16:16:55,396: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-19 16:16:55,397: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-19 16:16:55,397: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-19 16:16:55,397: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-19 16:16:55,398: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-19 16:16:55,443: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 16:16:55,448: +PARAM [/roslaunch/uris/host_ubuntu__35504] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 16:16:55,568: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 16:16:55,569: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 16:16:55,569: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 16:16:55,678: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45435/
[rosmaster.master][INFO] 2017-09-19 16:16:55,681: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45435/
[rosmaster.master][INFO] 2017-09-19 16:16:55,687: +PUB [/rosout_agg] /rosout http://ubuntu:45435/
[rosmaster.master][INFO] 2017-09-19 16:16:55,718: +SUB [/rosout] /rosout http://ubuntu:45435/
[rosmaster.master][INFO] 2017-09-19 16:16:55,797: +PUB [/rosout] /image_converter http://ubuntu:36285/
[rosmaster.master][INFO] 2017-09-19 16:16:55,798: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36285/
[rosmaster.master][INFO] 2017-09-19 16:16:55,800: publisherUpdate[/rosout] -> http://ubuntu:45435/ ['http://ubuntu:36285/']
[rosmaster.master][INFO] 2017-09-19 16:16:55,803: publisherUpdate[/rosout] -> http://ubuntu:45435/ ['http://ubuntu:36285/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 16:16:55,804: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36285/
[rosmaster.master][INFO] 2017-09-19 16:16:55,869: +PUB [/rosout] /view http://ubuntu:43547/
[rosmaster.master][INFO] 2017-09-19 16:16:55,870: +SERVICE [/view/get_loggers] /view http://ubuntu:43547/
[rosmaster.master][INFO] 2017-09-19 16:16:55,871: +SERVICE [/view/set_logger_level] /view http://ubuntu:43547/
[rosmaster.master][INFO] 2017-09-19 16:16:55,886: +SUB [/tf] /view http://ubuntu:43547/
[rosmaster.master][INFO] 2017-09-19 16:16:55,896: +SUB [/tf_static] /view http://ubuntu:43547/
