[rosmaster.main][INFO] 2017-09-28 16:34:55,745: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-28 16:34:55,745: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-28 16:34:55,746: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-28 16:34:55,747: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-28 16:34:55,747: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-28 16:34:55,748: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-28 16:34:55,774: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:34:55,777: +PARAM [/roslaunch/uris/host_ubuntu__37609] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:34:55,912: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:34:55,915: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:34:55,916: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:34:55,952: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35181/
[rosmaster.master][INFO] 2017-09-28 16:34:55,960: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35181/
[rosmaster.master][INFO] 2017-09-28 16:34:55,974: +PUB [/rosout_agg] /rosout http://ubuntu:35181/
[rosmaster.master][INFO] 2017-09-28 16:34:56,034: +SUB [/rosout] /rosout http://ubuntu:35181/
[rosmaster.master][INFO] 2017-09-28 16:34:56,265: +PUB [/rosout] /mask http://ubuntu:41683/
[rosmaster.master][INFO] 2017-09-28 16:34:56,267: +SERVICE [/mask/get_loggers] /mask http://ubuntu:41683/
[rosmaster.master][INFO] 2017-09-28 16:34:56,272: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:41683/
[rosmaster.master][INFO] 2017-09-28 16:34:56,332: +PUB [/rosout] /view http://ubuntu:39747/
[rosmaster.master][INFO] 2017-09-28 16:34:56,334: +SERVICE [/view/get_loggers] /view http://ubuntu:39747/
[rosmaster.master][INFO] 2017-09-28 16:34:56,336: +SERVICE [/view/set_logger_level] /view http://ubuntu:39747/
[rosmaster.master][INFO] 2017-09-28 16:34:56,350: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/']
[rosmaster.master][INFO] 2017-09-28 16:34:56,354: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:34:56,354: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/', 'http://ubuntu:39747/']
[rosmaster.master][INFO] 2017-09-28 16:34:56,357: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/', 'http://ubuntu:39747/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:34:56,366: +SUB [/tf] /view http://ubuntu:39747/
[rosmaster.master][INFO] 2017-09-28 16:34:56,370: +PUB [/rosout] /camera http://ubuntu:44320/
[rosmaster.master][INFO] 2017-09-28 16:34:56,374: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44320/
[rosmaster.master][INFO] 2017-09-28 16:34:56,380: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44320/
[rosmaster.master][INFO] 2017-09-28 16:34:56,394: +SUB [/tf_static] /view http://ubuntu:39747/
[rosmaster.master][INFO] 2017-09-28 16:34:56,453: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/', 'http://ubuntu:39747/', 'http://ubuntu:44320/']
[rosmaster.master][INFO] 2017-09-28 16:34:56,455: publisherUpdate[/rosout] -> http://ubuntu:35181/ ['http://ubuntu:41683/', 'http://ubuntu:39747/', 'http://ubuntu:44320/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:34:56,528: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44320/
