[rosmaster.main][INFO] 2017-09-20 18:31:47,653: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:31:47,653: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:31:47,654: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:31:47,654: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:31:47,654: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:31:47,655: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:31:47,721: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:31:47,724: +PARAM [/roslaunch/uris/host_ubuntu__35212] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:31:47,796: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:31:47,796: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:31:47,797: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:31:47,831: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40377/
[rosmaster.master][INFO] 2017-09-20 18:31:47,833: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40377/
[rosmaster.master][INFO] 2017-09-20 18:31:47,839: +PUB [/rosout_agg] /rosout http://ubuntu:40377/
[rosmaster.master][INFO] 2017-09-20 18:31:47,878: +SUB [/rosout] /rosout http://ubuntu:40377/
[rosmaster.master][INFO] 2017-09-20 18:31:47,975: +PUB [/rosout] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:47,976: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:47,977: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,043: +PUB [/rosout] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,043: +PUB [/rosout] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,044: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,045: +SERVICE [/view/get_loggers] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,049: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,049: +SERVICE [/view/set_logger_level] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,064: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/']
[rosmaster.master][INFO] 2017-09-20 18:31:48,065: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:31:48,066: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/', 'http://ubuntu:43611/']
[rosmaster.master][INFO] 2017-09-20 18:31:48,066: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/', 'http://ubuntu:43611/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:31:48,066: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/', 'http://ubuntu:43611/', 'http://ubuntu:42779/']
[rosmaster.master][INFO] 2017-09-20 18:31:48,067: publisherUpdate[/rosout] -> http://ubuntu:40377/ ['http://ubuntu:44190/', 'http://ubuntu:43611/', 'http://ubuntu:42779/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:31:48,076: +SUB [/tf] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,084: +SUB [/tf_static] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,117: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,122: +SUB [/camera/image_raw] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,141: +PUB [/image/screenpoint] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,141: +PUB [/image/screenpoint_array] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,142: +PUB [/image/screenrectangle] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,143: +PUB [/image/screenrectangle_image] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,143: +PUB [/image/movepoint] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,144: +PUB [/image/foreground] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,145: +PUB [/image/background] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,145: +PUB [/image/foreground_rect] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,146: +PUB [/image/background_rect] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,147: +PUB [/image/line] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,148: +PUB [/image/poly] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,188: +PUB [/image/compressedDepth] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,189: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,190: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,190: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,197: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,198: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,199: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,199: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,200: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,201: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,221: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,222: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,223: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,224: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,226: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,229: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,230: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,233: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,234: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,234: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,264: +PUB [/image/compressed] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,264: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,265: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,266: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,273: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,275: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,276: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,277: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,278: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,279: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,297: +PUB [/image_marked/compressed] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,298: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,299: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,299: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,301: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,302: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,305: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,306: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,306: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,309: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:31:48,340: +PUB [/image] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,376: +PUB [/image_marked] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,417: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,418: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,419: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,420: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:43611/
[rosmaster.master][INFO] 2017-09-20 18:31:48,424: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,428: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,430: +PUB [/image/theora] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,430: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,431: +SERVICE [/image/theora/set_parameters] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,432: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,433: +PUB [/image/theora/parameter_descriptions] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,436: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,436: +PUB [/image/theora/parameter_updates] /image_converter http://ubuntu:44190/
[rosmaster.master][INFO] 2017-09-20 18:31:48,437: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-20 18:31:48,449: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,452: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,453: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,456: +PARAM [/image/theora/keyframe_frequency] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,457: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,459: +PUB [/image_marked/theora] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,460: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,465: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,465: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,466: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:42779/
[rosmaster.master][INFO] 2017-09-20 18:31:48,467: +PARAM [/image/theora/keyframe_frequency] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:31:48,468: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:42779/
