[rosmaster.main][INFO] 2017-10-05 18:14:02,319: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 18:14:02,319: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 18:14:02,320: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 18:14:02,320: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 18:14:02,320: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 18:14:02,321: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 18:14:02,362: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:14:02,363: +PARAM [/roslaunch/uris/host_ubuntu__39503] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:14:02,441: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:14:02,441: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:14:02,441: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 18:14:02,454: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44600/
[rosmaster.master][INFO] 2017-10-05 18:14:02,466: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44600/
[rosmaster.master][INFO] 2017-10-05 18:14:02,470: +PUB [/rosout_agg] /rosout http://ubuntu:44600/
[rosmaster.master][INFO] 2017-10-05 18:14:02,483: +SUB [/rosout] /rosout http://ubuntu:44600/
[rosmaster.master][INFO] 2017-10-05 18:14:02,563: +PUB [/rosout] /mask_orange http://ubuntu:35195/
[rosmaster.master][INFO] 2017-10-05 18:14:02,565: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:35195/
[rosmaster.master][INFO] 2017-10-05 18:14:02,568: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:35195/
[rosmaster.master][INFO] 2017-10-05 18:14:02,614: +PUB [/rosout] /camera http://ubuntu:45658/
[rosmaster.master][INFO] 2017-10-05 18:14:02,615: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45658/
[rosmaster.master][INFO] 2017-10-05 18:14:02,616: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45658/
[rosmaster.master][INFO] 2017-10-05 18:14:02,620: publisherUpdate[/rosout] -> http://ubuntu:44600/ ['http://ubuntu:35195/']
[rosmaster.master][INFO] 2017-10-05 18:14:02,622: publisherUpdate[/rosout] -> http://ubuntu:44600/ ['http://ubuntu:35195/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:14:02,622: publisherUpdate[/rosout] -> http://ubuntu:44600/ ['http://ubuntu:35195/', 'http://ubuntu:45658/']
[rosmaster.master][INFO] 2017-10-05 18:14:02,623: publisherUpdate[/rosout] -> http://ubuntu:44600/ ['http://ubuntu:35195/', 'http://ubuntu:45658/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-05 18:14:02,639: +PUB [/rosout] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,641: +SERVICE [/view/get_loggers] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,642: +SERVICE [/view/set_logger_level] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,655: +SUB [/tf] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,667: +SUB [/tf_static] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,697: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:45658/
[rosmaster.master][INFO] 2017-10-05 18:14:02,717: +PUB [/image/screenpoint] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,718: +PUB [/image/screenpoint_array] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,719: +PUB [/image/screenrectangle] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,720: +PUB [/image/screenrectangle_image] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,720: +PUB [/image/movepoint] /view http://ubuntu:34624/
[rosmaster.master][INFO] 2017-10-05 18:14:02,721: +PUB [/image/foreground] /view http://ubuntu:34624/
