[rosmaster.main][INFO] 2017-09-26 17:41:49,704: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 17:41:49,704: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 17:41:49,705: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 17:41:49,705: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 17:41:49,705: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 17:41:49,705: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 17:41:49,761: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:41:49,762: +PARAM [/roslaunch/uris/host_ubuntu__42347] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:41:49,827: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:41:49,827: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:41:49,827: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:41:49,855: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44393/
[rosmaster.master][INFO] 2017-09-26 17:41:49,856: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44393/
[rosmaster.master][INFO] 2017-09-26 17:41:49,858: +PUB [/rosout_agg] /rosout http://ubuntu:44393/
[rosmaster.master][INFO] 2017-09-26 17:41:49,883: +SUB [/rosout] /rosout http://ubuntu:44393/
[rosmaster.master][INFO] 2017-09-26 17:41:49,950: +PUB [/rosout] /mask_orange http://ubuntu:44060/
[rosmaster.master][INFO] 2017-09-26 17:41:49,954: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:44060/
[rosmaster.master][INFO] 2017-09-26 17:41:49,955: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:44060/
[rosmaster.master][INFO] 2017-09-26 17:41:50,007: publisherUpdate[/rosout] -> http://ubuntu:44393/ ['http://ubuntu:44060/']
[rosmaster.master][INFO] 2017-09-26 17:41:50,009: publisherUpdate[/rosout] -> http://ubuntu:44393/ ['http://ubuntu:44060/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:41:50,033: +PUB [/rosout] /camera http://ubuntu:45372/
[rosmaster.master][INFO] 2017-09-26 17:41:50,034: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45372/
[rosmaster.master][INFO] 2017-09-26 17:41:50,034: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45372/
