[rosmaster.main][INFO] 2017-09-21 19:13:39,894: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:13:39,894: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:13:39,895: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:13:39,895: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:13:39,895: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:13:39,895: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:13:39,947: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:13:39,949: +PARAM [/roslaunch/uris/host_ubuntu__46526] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:13:40,024: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:13:40,025: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:13:40,025: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:13:40,037: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33623/
[rosmaster.master][INFO] 2017-09-21 19:13:40,038: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33623/
[rosmaster.master][INFO] 2017-09-21 19:13:40,046: +PUB [/rosout_agg] /rosout http://ubuntu:33623/
[rosmaster.master][INFO] 2017-09-21 19:13:40,059: +SUB [/rosout] /rosout http://ubuntu:33623/
[rosmaster.master][INFO] 2017-09-21 19:13:40,146: +PUB [/rosout] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,147: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,148: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,182: +PUB [/rosout] /camera http://ubuntu:42887/
[rosmaster.master][INFO] 2017-09-21 19:13:40,183: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42887/
[rosmaster.master][INFO] 2017-09-21 19:13:40,185: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42887/
[rosmaster.master][INFO] 2017-09-21 19:13:40,188: +PUB [/rosout] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,189: +SERVICE [/view/get_loggers] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,191: +SERVICE [/view/set_logger_level] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,197: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/']
[rosmaster.master][INFO] 2017-09-21 19:13:40,200: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:13:40,200: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/', 'http://ubuntu:42887/']
[rosmaster.master][INFO] 2017-09-21 19:13:40,202: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/', 'http://ubuntu:42887/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:13:40,202: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/', 'http://ubuntu:42887/', 'http://ubuntu:33548/']
[rosmaster.master][INFO] 2017-09-21 19:13:40,202: publisherUpdate[/rosout] -> http://ubuntu:33623/ ['http://ubuntu:45642/', 'http://ubuntu:42887/', 'http://ubuntu:33548/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:13:40,219: +SUB [/tf] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,227: +SUB [/tf_static] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,242: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42887/
[rosmaster.master][INFO] 2017-09-21 19:13:40,270: +PUB [/image/screenpoint] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,271: +PUB [/image/screenpoint_array] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,272: +PUB [/image/screenrectangle] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,272: +PUB [/image/screenrectangle_image] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,274: +PUB [/image/movepoint] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,275: +PUB [/image/foreground] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,275: +PUB [/image/background] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,276: +PUB [/image/foreground_rect] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,278: +PUB [/image/background_rect] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,279: +PUB [/image/line] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,280: +PUB [/image/poly] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,284: +SUB [/camera/image_raw] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,342: +PUB [/image/compressedDepth] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,343: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,344: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,345: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:45642/
[rosmaster.master][INFO] 2017-09-21 19:13:40,347: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,348: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,348: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,351: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,351: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,354: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:13:40,360: +PUB [/image_marked/compressedDepth] /view http://ubuntu:33548/
[rosmaster.master][INFO] 2017-09-21 19:13:40,361: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:33548/
