[rosmaster.main][INFO] 2017-10-04 13:00:21,470: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:00:21,470: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:00:21,471: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:00:21,471: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:00:21,472: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:00:21,472: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:00:21,531: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:00:21,534: +PARAM [/roslaunch/uris/host_ubuntu__37118] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:00:21,610: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:00:21,610: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:00:21,610: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:00:21,622: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41932/
[rosmaster.master][INFO] 2017-10-04 13:00:21,625: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41932/
[rosmaster.master][INFO] 2017-10-04 13:00:21,638: +PUB [/rosout_agg] /rosout http://ubuntu:41932/
[rosmaster.master][INFO] 2017-10-04 13:00:21,661: +SUB [/rosout] /rosout http://ubuntu:41932/
[rosmaster.master][INFO] 2017-10-04 13:00:21,745: +PUB [/rosout] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,746: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,747: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,772: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/']
[rosmaster.master][INFO] 2017-10-04 13:00:21,773: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:00:21,784: +PUB [/rosout] /camera http://ubuntu:35202/
[rosmaster.master][INFO] 2017-10-04 13:00:21,785: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35202/
[rosmaster.master][INFO] 2017-10-04 13:00:21,786: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35202/
[rosmaster.master][INFO] 2017-10-04 13:00:21,796: +PUB [/rosout] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,797: +SERVICE [/view/get_loggers] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,800: +SERVICE [/view/set_logger_level] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,805: +SUB [/tf] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,822: +SUB [/tf_static] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,844: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35202/
[rosmaster.master][INFO] 2017-10-04 13:00:21,870: +PUB [/image/screenpoint] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,871: +PUB [/image/screenpoint_array] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,871: +PUB [/image/screenrectangle] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,872: +PUB [/image/screenrectangle_image] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,873: +PUB [/image/movepoint] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,873: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/', 'http://ubuntu:35202/']
[rosmaster.master][INFO] 2017-10-04 13:00:21,873: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/', 'http://ubuntu:35202/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:00:21,874: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/', 'http://ubuntu:35202/', 'http://ubuntu:42573/']
[rosmaster.master][INFO] 2017-10-04 13:00:21,874: publisherUpdate[/rosout] -> http://ubuntu:41932/ ['http://ubuntu:42112/', 'http://ubuntu:35202/', 'http://ubuntu:42573/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:00:21,875: +PUB [/image/foreground] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,876: +PUB [/image/background] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,879: +PUB [/image/foreground_rect] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,879: +PUB [/image/background_rect] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,882: +PUB [/image/line] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,883: +PUB [/image/poly] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,888: +SUB [/camera/image_raw] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,948: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,951: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,952: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,953: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:42112/
[rosmaster.master][INFO] 2017-10-04 13:00:21,955: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,958: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,959: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,959: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,961: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,963: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:00:21,969: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,970: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,971: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42573/
[rosmaster.master][INFO] 2017-10-04 13:00:21,973: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42573/
