[rosmaster.main][INFO] 2017-09-23 12:09:00,981: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 12:09:00,981: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 12:09:00,983: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-23 12:09:00,983: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 12:09:00,983: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 12:09:00,983: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 12:09:01,016: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:01,017: +PARAM [/roslaunch/uris/host_ubuntu__36089] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:01,108: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:01,108: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:01,109: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:01,181: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46637/
[rosmaster.master][INFO] 2017-09-23 12:09:01,182: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46637/
[rosmaster.master][INFO] 2017-09-23 12:09:01,187: +PUB [/rosout_agg] /rosout http://ubuntu:46637/
[rosmaster.master][INFO] 2017-09-23 12:09:01,198: +SUB [/rosout] /rosout http://ubuntu:46637/
[rosmaster.master][INFO] 2017-09-23 12:09:01,406: +PUB [/rosout] /image_converter http://ubuntu:38352/
[rosmaster.master][INFO] 2017-09-23 12:09:01,407: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:38352/
[rosmaster.master][INFO] 2017-09-23 12:09:01,408: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:38352/
[rosmaster.master][INFO] 2017-09-23 12:09:01,456: +PUB [/rosout] /view http://ubuntu:36796/
[rosmaster.master][INFO] 2017-09-23 12:09:01,457: +SERVICE [/view/get_loggers] /view http://ubuntu:36796/
[rosmaster.master][INFO] 2017-09-23 12:09:01,458: +SERVICE [/view/set_logger_level] /view http://ubuntu:36796/
[rosmaster.master][INFO] 2017-09-23 12:09:01,485: publisherUpdate[/rosout] -> http://ubuntu:46637/ ['http://ubuntu:38352/']
[rosmaster.master][INFO] 2017-09-23 12:09:01,490: publisherUpdate[/rosout] -> http://ubuntu:46637/ ['http://ubuntu:38352/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 12:09:01,490: publisherUpdate[/rosout] -> http://ubuntu:46637/ ['http://ubuntu:38352/', 'http://ubuntu:36796/']
[rosmaster.master][INFO] 2017-09-23 12:09:01,491: publisherUpdate[/rosout] -> http://ubuntu:46637/ ['http://ubuntu:38352/', 'http://ubuntu:36796/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 12:09:01,492: +SUB [/tf] /view http://ubuntu:36796/
[rosmaster.master][INFO] 2017-09-23 12:09:01,501: +SUB [/tf_static] /view http://ubuntu:36796/
