[rosmaster.main][INFO] 2017-09-28 17:25:20,543: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-28 17:25:20,543: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-28 17:25:20,544: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-28 17:25:20,544: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-28 17:25:20,544: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-28 17:25:20,544: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-28 17:25:20,599: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 17:25:20,600: +PARAM [/roslaunch/uris/host_ubuntu__46548] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 17:25:20,662: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 17:25:20,662: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 17:25:20,662: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 17:25:20,697: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41443/
[rosmaster.master][INFO] 2017-09-28 17:25:20,699: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41443/
[rosmaster.master][INFO] 2017-09-28 17:25:20,702: +PUB [/rosout_agg] /rosout http://ubuntu:41443/
[rosmaster.master][INFO] 2017-09-28 17:25:20,721: +SUB [/rosout] /rosout http://ubuntu:41443/
[rosmaster.master][INFO] 2017-09-28 17:25:20,814: +PUB [/rosout] /mask http://ubuntu:33385/
[rosmaster.master][INFO] 2017-09-28 17:25:20,815: +SERVICE [/mask/get_loggers] /mask http://ubuntu:33385/
[rosmaster.master][INFO] 2017-09-28 17:25:20,816: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:33385/
[rosmaster.master][INFO] 2017-09-28 17:25:20,831: +PUB [/rosout] /camera http://ubuntu:44224/
[rosmaster.master][INFO] 2017-09-28 17:25:20,832: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44224/
[rosmaster.master][INFO] 2017-09-28 17:25:20,832: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44224/
[rosmaster.master][INFO] 2017-09-28 17:25:20,839: +PUB [/rosout] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,839: +SERVICE [/view/get_loggers] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,840: +SERVICE [/view/set_logger_level] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,845: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/']
[rosmaster.master][INFO] 2017-09-28 17:25:20,848: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 17:25:20,848: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/', 'http://ubuntu:44224/']
[rosmaster.master][INFO] 2017-09-28 17:25:20,849: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/', 'http://ubuntu:44224/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 17:25:20,849: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/', 'http://ubuntu:44224/', 'http://ubuntu:36948/']
[rosmaster.master][INFO] 2017-09-28 17:25:20,849: publisherUpdate[/rosout] -> http://ubuntu:41443/ ['http://ubuntu:33385/', 'http://ubuntu:44224/', 'http://ubuntu:36948/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 17:25:20,859: +SUB [/tf] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,870: +SUB [/tf_static] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,886: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:44224/
[rosmaster.master][INFO] 2017-09-28 17:25:20,917: +PUB [/image/screenpoint] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,918: +PUB [/image/screenpoint_array] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,919: +PUB [/image/screenrectangle] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,919: +PUB [/image/screenrectangle_image] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,920: +PUB [/image/movepoint] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,921: +PUB [/image/foreground] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,923: +PUB [/image/background] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,924: +PUB [/image/foreground_rect] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,928: +PUB [/image/background_rect] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,928: +PUB [/image/line] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,929: +PUB [/image/poly] /view http://ubuntu:36948/
[rosmaster.master][INFO] 2017-09-28 17:25:20,943: +SUB [/camera/image_raw] /mask http://ubuntu:33385/
