[rosmaster.main][INFO] 2017-09-25 17:21:48,454: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:21:48,454: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:21:48,455: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-25 17:21:48,455: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:21:48,455: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:21:48,456: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-25 17:21:48,514: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:48,516: +PARAM [/roslaunch/uris/host_ubuntu__37172] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:48,582: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:48,582: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:48,582: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:21:48,588: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43175/
[rosmaster.master][INFO] 2017-09-25 17:21:48,588: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43175/
[rosmaster.master][INFO] 2017-09-25 17:21:48,590: +PUB [/rosout_agg] /rosout http://ubuntu:43175/
[rosmaster.master][INFO] 2017-09-25 17:21:48,613: +SUB [/rosout] /rosout http://ubuntu:43175/
[rosmaster.master][INFO] 2017-09-25 17:21:48,709: +PUB [/rosout] /mask_orange http://ubuntu:45663/
[rosmaster.master][INFO] 2017-09-25 17:21:48,711: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45663/
[rosmaster.master][INFO] 2017-09-25 17:21:48,713: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45663/
[rosmaster.master][INFO] 2017-09-25 17:21:48,744: +PUB [/rosout] /camera http://ubuntu:36511/
[rosmaster.master][INFO] 2017-09-25 17:21:48,746: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36511/
[rosmaster.master][INFO] 2017-09-25 17:21:48,747: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36511/
[rosmaster.master][INFO] 2017-09-25 17:21:48,757: +PUB [/rosout] /view http://ubuntu:43003/
[rosmaster.master][INFO] 2017-09-25 17:21:48,757: publisherUpdate[/rosout] -> http://ubuntu:43175/ ['http://ubuntu:45663/']
[rosmaster.master][INFO] 2017-09-25 17:21:48,758: publisherUpdate[/rosout] -> http://ubuntu:43175/ ['http://ubuntu:45663/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:21:48,759: publisherUpdate[/rosout] -> http://ubuntu:43175/ ['http://ubuntu:45663/', 'http://ubuntu:36511/']
[rosmaster.master][INFO] 2017-09-25 17:21:48,759: publisherUpdate[/rosout] -> http://ubuntu:43175/ ['http://ubuntu:45663/', 'http://ubuntu:36511/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:21:48,759: publisherUpdate[/rosout] -> http://ubuntu:43175/ ['http://ubuntu:45663/', 'http://ubuntu:36511/', 'http://ubuntu:43003/']
