[rosmaster.main][INFO] 2017-09-05 19:04:22,975: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-05 19:04:22,975: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-05 19:04:22,981: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-05 19:04:22,982: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-05 19:04:22,982: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-05 19:04:22,982: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-05 19:04:22,989: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-05 19:04:22,990: +PARAM [/roslaunch/uris/host_ubuntu__44849] by /roslaunch
[rosmaster.master][INFO] 2017-09-05 19:04:23,065: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-05 19:04:23,065: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-05 19:04:23,106: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43320/
[rosmaster.master][INFO] 2017-09-05 19:04:23,110: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43320/
[rosmaster.master][INFO] 2017-09-05 19:04:23,119: +PUB [/rosout_agg] /rosout http://ubuntu:43320/
[rosmaster.master][INFO] 2017-09-05 19:04:23,153: +SUB [/rosout] /rosout http://ubuntu:43320/
[rosmaster.master][INFO] 2017-09-05 19:04:23,236: +PUB [/rosout] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,237: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,239: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,277: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/']
[rosmaster.master][INFO] 2017-09-05 19:04:23,279: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-05 19:04:23,282: +PUB [/rosout] /view http://ubuntu:45558/
[rosmaster.master][INFO] 2017-09-05 19:04:23,283: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/', 'http://ubuntu:45558/']
[rosmaster.master][INFO] 2017-09-05 19:04:23,283: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/', 'http://ubuntu:45558/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-05 19:04:23,283: +SERVICE [/view/get_loggers] /view http://ubuntu:45558/
[rosmaster.master][INFO] 2017-09-05 19:04:23,285: +SERVICE [/view/set_logger_level] /view http://ubuntu:45558/
[rosmaster.master][INFO] 2017-09-05 19:04:23,336: +PUB [/rosout] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,337: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,338: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,380: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/', 'http://ubuntu:45558/', 'http://ubuntu:45484/']
[rosmaster.master][INFO] 2017-09-05 19:04:23,381: publisherUpdate[/rosout] -> http://ubuntu:43320/ ['http://ubuntu:33612/', 'http://ubuntu:45558/', 'http://ubuntu:45484/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-05 19:04:23,423: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,449: +SUB [/camera/image_raw] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,524: +PUB [/image/compressedDepth] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,526: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,528: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,530: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,538: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,539: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,541: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,542: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,546: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,547: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,619: +PUB [/image/compressed] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,621: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,622: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,625: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,634: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,635: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,637: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,643: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,644: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,649: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,769: +PUB [/image] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,803: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,806: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,808: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,809: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:45484/
[rosmaster.master][INFO] 2017-09-05 19:04:23,817: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,822: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,822: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,826: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,827: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,827: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-05 19:04:23,886: +PUB [/image/theora] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,889: +SERVICE [/image/theora/set_parameters] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,891: +PUB [/image/theora/parameter_descriptions] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,893: +PUB [/image/theora/parameter_updates] /image_converter http://ubuntu:33612/
[rosmaster.master][INFO] 2017-09-05 19:04:23,910: +PARAM [/image/theora/optimize_for] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,913: +PARAM [/image/theora/target_bitrate] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,921: +PARAM [/image/theora/quality] by /image_converter
[rosmaster.master][INFO] 2017-09-05 19:04:23,926: +PARAM [/image/theora/keyframe_frequency] by /image_converter
