[rosmaster.main][INFO] 2017-09-22 14:48:01,100: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 14:48:01,100: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 14:48:01,101: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 14:48:01,101: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 14:48:01,101: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 14:48:01,102: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 14:48:01,185: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:48:01,189: +PARAM [/roslaunch/uris/host_ubuntu__32843] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:48:01,279: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:48:01,279: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:48:01,279: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:48:01,352: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39705/
[rosmaster.master][INFO] 2017-09-22 14:48:01,353: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39705/
[rosmaster.master][INFO] 2017-09-22 14:48:01,359: +PUB [/rosout_agg] /rosout http://ubuntu:39705/
[rosmaster.master][INFO] 2017-09-22 14:48:01,387: +SUB [/rosout] /rosout http://ubuntu:39705/
[rosmaster.master][INFO] 2017-09-22 14:48:01,453: +PUB [/rosout] /image_converter http://ubuntu:42321/
[rosmaster.master][INFO] 2017-09-22 14:48:01,454: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:42321/
[rosmaster.master][INFO] 2017-09-22 14:48:01,455: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:42321/
[rosmaster.master][INFO] 2017-09-22 14:48:01,490: +PUB [/rosout] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,491: +SERVICE [/view/get_loggers] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,491: +SERVICE [/view/set_logger_level] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,500: +SUB [/tf] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,506: publisherUpdate[/rosout] -> http://ubuntu:39705/ ['http://ubuntu:42321/']
[rosmaster.master][INFO] 2017-09-22 14:48:01,509: publisherUpdate[/rosout] -> http://ubuntu:39705/ ['http://ubuntu:42321/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 14:48:01,509: publisherUpdate[/rosout] -> http://ubuntu:39705/ ['http://ubuntu:42321/', 'http://ubuntu:39740/']
[rosmaster.master][INFO] 2017-09-22 14:48:01,512: publisherUpdate[/rosout] -> http://ubuntu:39705/ ['http://ubuntu:42321/', 'http://ubuntu:39740/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 14:48:01,520: +SUB [/tf_static] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,544: +PUB [/rosout] /camera http://ubuntu:46195/
[rosmaster.master][INFO] 2017-09-22 14:48:01,545: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46195/
[rosmaster.master][INFO] 2017-09-22 14:48:01,545: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46195/
[rosmaster.master][INFO] 2017-09-22 14:48:01,586: +PUB [/image/screenpoint] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,586: +PUB [/image/screenpoint_array] /view http://ubuntu:39740/
[rosmaster.master][INFO] 2017-09-22 14:48:01,587: +PUB [/image/screenrectangle] /view http://ubuntu:39740/
