[rosmaster.main][INFO] 2017-09-21 18:38:22,750: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 18:38:22,750: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 18:38:22,751: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 18:38:22,751: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 18:38:22,751: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 18:38:22,751: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 18:38:22,787: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:38:22,788: +PARAM [/roslaunch/uris/host_ubuntu__33707] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:38:22,864: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:38:22,864: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:38:22,864: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:38:22,883: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38705/
[rosmaster.master][INFO] 2017-09-21 18:38:22,896: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38705/
[rosmaster.master][INFO] 2017-09-21 18:38:22,900: +PUB [/rosout_agg] /rosout http://ubuntu:38705/
[rosmaster.master][INFO] 2017-09-21 18:38:22,917: +SUB [/rosout] /rosout http://ubuntu:38705/
[rosmaster.master][INFO] 2017-09-21 18:38:23,009: +PUB [/rosout] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,010: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,011: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,052: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/']
[rosmaster.master][INFO] 2017-09-21 18:38:23,053: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:38:23,055: +PUB [/rosout] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,056: +SERVICE [/view/get_loggers] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,057: +SERVICE [/view/set_logger_level] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,067: +SUB [/tf] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,076: +PUB [/rosout] /camera http://ubuntu:34739/
[rosmaster.master][INFO] 2017-09-21 18:38:23,077: +SERVICE [/camera/get_loggers] /camera http://ubuntu:34739/
[rosmaster.master][INFO] 2017-09-21 18:38:23,078: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:34739/
[rosmaster.master][INFO] 2017-09-21 18:38:23,082: +SUB [/tf_static] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,146: +PUB [/image/screenpoint] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,147: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:34739/
[rosmaster.master][INFO] 2017-09-21 18:38:23,148: +PUB [/image/screenpoint_array] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,149: +PUB [/image/screenrectangle] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,150: +PUB [/image/screenrectangle_image] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,151: +PUB [/image/movepoint] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,152: +PUB [/image/foreground] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,153: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/', 'http://ubuntu:37610/']
[rosmaster.master][INFO] 2017-09-21 18:38:23,154: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/', 'http://ubuntu:37610/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:38:23,154: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/', 'http://ubuntu:37610/', 'http://ubuntu:34739/']
[rosmaster.master][INFO] 2017-09-21 18:38:23,155: publisherUpdate[/rosout] -> http://ubuntu:38705/ ['http://ubuntu:36344/', 'http://ubuntu:37610/', 'http://ubuntu:34739/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:38:23,156: +PUB [/image/background] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,157: +PUB [/image/foreground_rect] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,159: +PUB [/image/background_rect] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,160: +PUB [/image/line] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,162: +PUB [/image/poly] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,163: +SUB [/camera/image_raw] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,221: +PUB [/image/compressedDepth] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,222: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,223: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,223: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,228: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,230: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,231: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,233: +PUB [/image_marked/compressedDepth] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,233: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,234: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,235: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,235: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,236: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,243: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,245: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,247: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,249: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,250: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,251: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,253: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,297: +PUB [/image/compressed] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,298: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,298: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,299: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,303: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,305: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,308: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,309: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,309: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,310: +PUB [/image_marked/compressed] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,311: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:38:23,317: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,318: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,318: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,323: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,324: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,326: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,327: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,330: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,332: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:38:23,382: +PUB [/image] /image_converter http://ubuntu:36344/
[rosmaster.master][INFO] 2017-09-21 18:38:23,422: +PUB [/image_marked] /view http://ubuntu:37610/
[rosmaster.master][INFO] 2017-09-21 18:38:23,453: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:34739/
