[rosmaster.main][INFO] 2017-09-22 18:30:03,157: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 18:30:03,158: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 18:30:03,159: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 18:30:03,159: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 18:30:03,159: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 18:30:03,159: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 18:30:03,214: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:30:03,217: +PARAM [/roslaunch/uris/host_ubuntu__33213] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:30:03,295: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:30:03,295: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:30:03,295: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 18:30:03,307: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44032/
[rosmaster.master][INFO] 2017-09-22 18:30:03,311: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44032/
[rosmaster.master][INFO] 2017-09-22 18:30:03,327: +PUB [/rosout_agg] /rosout http://ubuntu:44032/
[rosmaster.master][INFO] 2017-09-22 18:30:03,339: +SUB [/rosout] /rosout http://ubuntu:44032/
[rosmaster.master][INFO] 2017-09-22 18:30:03,423: +PUB [/rosout] /image_converter http://ubuntu:35785/
[rosmaster.master][INFO] 2017-09-22 18:30:03,424: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:35785/
[rosmaster.master][INFO] 2017-09-22 18:30:03,425: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:35785/
[rosmaster.master][INFO] 2017-09-22 18:30:03,455: +PUB [/rosout] /camera http://ubuntu:40288/
[rosmaster.master][INFO] 2017-09-22 18:30:03,456: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40288/
[rosmaster.master][INFO] 2017-09-22 18:30:03,456: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40288/
[rosmaster.master][INFO] 2017-09-22 18:30:03,459: publisherUpdate[/rosout] -> http://ubuntu:44032/ ['http://ubuntu:35785/']
[rosmaster.master][INFO] 2017-09-22 18:30:03,461: publisherUpdate[/rosout] -> http://ubuntu:44032/ ['http://ubuntu:35785/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:30:03,461: publisherUpdate[/rosout] -> http://ubuntu:44032/ ['http://ubuntu:35785/', 'http://ubuntu:40288/']
[rosmaster.master][INFO] 2017-09-22 18:30:03,462: publisherUpdate[/rosout] -> http://ubuntu:44032/ ['http://ubuntu:35785/', 'http://ubuntu:40288/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 18:30:03,474: +PUB [/rosout] /view http://ubuntu:41292/
[rosmaster.master][INFO] 2017-09-22 18:30:03,475: +SERVICE [/view/get_loggers] /view http://ubuntu:41292/
[rosmaster.master][INFO] 2017-09-22 18:30:03,477: +SERVICE [/view/set_logger_level] /view http://ubuntu:41292/
[rosmaster.master][INFO] 2017-09-22 18:30:03,488: +SUB [/tf] /view http://ubuntu:41292/
[rosmaster.master][INFO] 2017-09-22 18:30:03,500: +SUB [/tf_static] /view http://ubuntu:41292/
[rosmaster.master][INFO] 2017-09-22 18:30:03,515: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40288/
[rosmaster.master][INFO] 2017-09-22 18:30:03,547: +PUB [/image/screenpoint] /view http://ubuntu:41292/
