[rosmaster.main][INFO] 2017-09-20 16:59:22,882: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 16:59:22,882: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 16:59:22,883: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 16:59:22,884: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 16:59:22,884: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 16:59:22,884: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 16:59:22,909: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:22,912: +PARAM [/roslaunch/uris/host_ubuntu__38760] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:23,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:23,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:23,002: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:23,044: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46291/
[rosmaster.master][INFO] 2017-09-20 16:59:23,052: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46291/
[rosmaster.master][INFO] 2017-09-20 16:59:23,065: +PUB [/rosout_agg] /rosout http://ubuntu:46291/
[rosmaster.master][INFO] 2017-09-20 16:59:23,103: +SUB [/rosout] /rosout http://ubuntu:46291/
[rosmaster.master][INFO] 2017-09-20 16:59:23,238: +PUB [/rosout] /image_converter http://ubuntu:34721/
[rosmaster.master][INFO] 2017-09-20 16:59:23,241: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:34721/
[rosmaster.master][INFO] 2017-09-20 16:59:23,243: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:34721/
[rosmaster.master][INFO] 2017-09-20 16:59:23,289: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/']
[rosmaster.master][INFO] 2017-09-20 16:59:23,291: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 16:59:23,331: +PUB [/rosout] /view http://ubuntu:39432/
[rosmaster.master][INFO] 2017-09-20 16:59:23,333: +SERVICE [/view/get_loggers] /view http://ubuntu:39432/
[rosmaster.master][INFO] 2017-09-20 16:59:23,338: +SERVICE [/view/set_logger_level] /view http://ubuntu:39432/
[rosmaster.master][INFO] 2017-09-20 16:59:23,338: +PUB [/rosout] /camera http://ubuntu:32817/
[rosmaster.master][INFO] 2017-09-20 16:59:23,341: +SERVICE [/camera/get_loggers] /camera http://ubuntu:32817/
[rosmaster.master][INFO] 2017-09-20 16:59:23,345: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:32817/
[rosmaster.master][INFO] 2017-09-20 16:59:23,360: +SUB [/tf] /view http://ubuntu:39432/
[rosmaster.master][INFO] 2017-09-20 16:59:23,370: +SUB [/tf_static] /view http://ubuntu:39432/
[rosmaster.master][INFO] 2017-09-20 16:59:23,391: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/', 'http://ubuntu:39432/']
[rosmaster.master][INFO] 2017-09-20 16:59:23,392: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/', 'http://ubuntu:39432/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 16:59:23,392: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/', 'http://ubuntu:39432/', 'http://ubuntu:32817/']
[rosmaster.master][INFO] 2017-09-20 16:59:23,393: publisherUpdate[/rosout] -> http://ubuntu:46291/ ['http://ubuntu:34721/', 'http://ubuntu:39432/', 'http://ubuntu:32817/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 16:59:23,425: +SUB [/camera/image_raw] /image_converter http://ubuntu:34721/
[rosmaster.master][INFO] 2017-09-20 16:59:23,429: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:32817/
