[rosmaster.main][INFO] 2017-09-13 16:17:36,746: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:17:36,746: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:17:36,747: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:17:36,747: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:17:36,747: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:17:36,748: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:17:36,776: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:17:36,777: +PARAM [/roslaunch/uris/host_ubuntu__34788] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:17:36,852: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:17:36,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:17:36,993: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38510/
[rosmaster.master][INFO] 2017-09-13 16:17:36,997: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38510/
[rosmaster.master][INFO] 2017-09-13 16:17:37,002: +PUB [/rosout_agg] /rosout http://ubuntu:38510/
[rosmaster.master][INFO] 2017-09-13 16:17:37,026: +SUB [/rosout] /rosout http://ubuntu:38510/
[rosmaster.master][INFO] 2017-09-13 16:17:37,117: +PUB [/rosout] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,119: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,120: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,149: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/']
[rosmaster.master][INFO] 2017-09-13 16:17:37,150: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:17:37,214: +PUB [/rosout] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,215: +SERVICE [/view/get_loggers] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,216: +SERVICE [/view/set_logger_level] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,227: +SUB [/tf] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,249: +PUB [/rosout] /camera http://ubuntu:43404/
[rosmaster.master][INFO] 2017-09-13 16:17:37,250: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/', 'http://ubuntu:42720/']
[rosmaster.master][INFO] 2017-09-13 16:17:37,251: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/', 'http://ubuntu:42720/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:17:37,251: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/', 'http://ubuntu:42720/', 'http://ubuntu:43404/']
[rosmaster.master][INFO] 2017-09-13 16:17:37,251: publisherUpdate[/rosout] -> http://ubuntu:38510/ ['http://ubuntu:40180/', 'http://ubuntu:42720/', 'http://ubuntu:43404/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:17:37,252: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43404/
[rosmaster.master][INFO] 2017-09-13 16:17:37,253: +SUB [/tf_static] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,260: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43404/
[rosmaster.master][INFO] 2017-09-13 16:17:37,330: +SUB [/camera/image_raw] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,341: +PUB [/image/screenpoint] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,343: +PUB [/image/screenpoint_array] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,349: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43404/
[rosmaster.master][INFO] 2017-09-13 16:17:37,349: +PUB [/image/screenrectangle] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,351: +PUB [/image/screenrectangle_image] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,353: +PUB [/image/movepoint] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,353: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:59010
[rosmaster.master][INFO] 2017-09-13 16:17:37,354: +PUB [/image/foreground] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,355: +PUB [/image/background] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,361: +PUB [/image/foreground_rect] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,364: +PUB [/image/background_rect] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,367: +PUB [/image/line] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,374: +PUB [/image/poly] /view http://ubuntu:42720/
[rosmaster.master][INFO] 2017-09-13 16:17:37,451: +PUB [/image/compressedDepth] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,452: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,453: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,454: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:40180/
[rosmaster.master][INFO] 2017-09-13 16:17:37,462: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-13 16:17:37,464: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
