[rosmaster.main][INFO] 2017-09-25 17:22:11,812: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:22:11,812: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:22:11,813: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-25 17:22:11,813: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:22:11,813: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:22:11,813: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-25 17:22:11,872: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:11,874: +PARAM [/roslaunch/uris/host_ubuntu__33817] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:11,940: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:11,940: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:11,940: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:11,949: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43660/
[rosmaster.master][INFO] 2017-09-25 17:22:11,950: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43660/
[rosmaster.master][INFO] 2017-09-25 17:22:11,953: +PUB [/rosout_agg] /rosout http://ubuntu:43660/
[rosmaster.master][INFO] 2017-09-25 17:22:11,972: +SUB [/rosout] /rosout http://ubuntu:43660/
[rosmaster.master][INFO] 2017-09-25 17:22:12,053: +PUB [/rosout] /mask_orange http://ubuntu:42205/
[rosmaster.master][INFO] 2017-09-25 17:22:12,055: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42205/
[rosmaster.master][INFO] 2017-09-25 17:22:12,060: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42205/
[rosmaster.master][INFO] 2017-09-25 17:22:12,095: +PUB [/rosout] /camera http://ubuntu:40655/
[rosmaster.master][INFO] 2017-09-25 17:22:12,095: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40655/
[rosmaster.master][INFO] 2017-09-25 17:22:12,096: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40655/
[rosmaster.master][INFO] 2017-09-25 17:22:12,100: +PUB [/rosout] /view http://ubuntu:46736/
[rosmaster.master][INFO] 2017-09-25 17:22:12,104: +SERVICE [/view/get_loggers] /view http://ubuntu:46736/
