[rosmaster.main][INFO] 2017-09-23 12:09:44,065: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 12:09:44,065: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 12:09:44,066: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-23 12:09:44,066: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 12:09:44,066: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 12:09:44,066: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-23 12:09:44,127: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:44,128: +PARAM [/roslaunch/uris/host_ubuntu__38764] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:44,218: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:44,218: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:44,219: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 12:09:44,242: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33864/
[rosmaster.master][INFO] 2017-09-23 12:09:44,243: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33864/
[rosmaster.master][INFO] 2017-09-23 12:09:44,249: +PUB [/rosout_agg] /rosout http://ubuntu:33864/
[rosmaster.master][INFO] 2017-09-23 12:09:44,281: +SUB [/rosout] /rosout http://ubuntu:33864/
[rosmaster.master][INFO] 2017-09-23 12:09:44,346: +PUB [/rosout] /image_converter http://ubuntu:42773/
[rosmaster.master][INFO] 2017-09-23 12:09:44,347: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:42773/
[rosmaster.master][INFO] 2017-09-23 12:09:44,348: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:42773/
[rosmaster.master][INFO] 2017-09-23 12:09:44,367: publisherUpdate[/rosout] -> http://ubuntu:33864/ ['http://ubuntu:42773/']
[rosmaster.master][INFO] 2017-09-23 12:09:44,368: publisherUpdate[/rosout] -> http://ubuntu:33864/ ['http://ubuntu:42773/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 12:09:44,397: +PUB [/rosout] /camera http://ubuntu:46519/
[rosmaster.master][INFO] 2017-09-23 12:09:44,398: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46519/
[rosmaster.master][INFO] 2017-09-23 12:09:44,398: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46519/
[rosmaster.master][INFO] 2017-09-23 12:09:44,404: +PUB [/rosout] /view http://ubuntu:39796/
[rosmaster.master][INFO] 2017-09-23 12:09:44,404: +SERVICE [/view/get_loggers] /view http://ubuntu:39796/
[rosmaster.master][INFO] 2017-09-23 12:09:44,406: +SERVICE [/view/set_logger_level] /view http://ubuntu:39796/
[rosmaster.master][INFO] 2017-09-23 12:09:44,419: +SUB [/tf] /view http://ubuntu:39796/
[rosmaster.master][INFO] 2017-09-23 12:09:44,431: +SUB [/tf_static] /view http://ubuntu:39796/
