[rosmaster.main][INFO] 2017-10-04 17:26:02,052: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 17:26:02,053: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 17:26:02,055: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 17:26:02,055: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 17:26:02,055: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 17:26:02,055: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 17:26:02,086: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:26:02,088: +PARAM [/roslaunch/uris/host_ubuntu__46152] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:26:02,175: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:26:02,176: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:26:02,176: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 17:26:02,183: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34017/
[rosmaster.master][INFO] 2017-10-04 17:26:02,188: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34017/
[rosmaster.master][INFO] 2017-10-04 17:26:02,204: +PUB [/rosout_agg] /rosout http://ubuntu:34017/
[rosmaster.master][INFO] 2017-10-04 17:26:02,234: +SUB [/rosout] /rosout http://ubuntu:34017/
[rosmaster.master][INFO] 2017-10-04 17:26:02,344: +PUB [/rosout] /mask_orange http://ubuntu:38855/
[rosmaster.master][INFO] 2017-10-04 17:26:02,345: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:38855/
[rosmaster.master][INFO] 2017-10-04 17:26:02,347: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:38855/
[rosmaster.master][INFO] 2017-10-04 17:26:02,354: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/']
[rosmaster.master][INFO] 2017-10-04 17:26:02,359: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:26:02,413: +PUB [/rosout] /camera http://ubuntu:43512/
[rosmaster.master][INFO] 2017-10-04 17:26:02,413: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43512/
[rosmaster.master][INFO] 2017-10-04 17:26:02,421: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43512/
[rosmaster.master][INFO] 2017-10-04 17:26:02,445: +PUB [/rosout] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,446: +SERVICE [/view/get_loggers] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,447: +SERVICE [/view/set_logger_level] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,458: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/', 'http://ubuntu:43512/']
[rosmaster.master][INFO] 2017-10-04 17:26:02,465: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/', 'http://ubuntu:43512/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:26:02,465: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/', 'http://ubuntu:43512/', 'http://ubuntu:38779/']
[rosmaster.master][INFO] 2017-10-04 17:26:02,469: publisherUpdate[/rosout] -> http://ubuntu:34017/ ['http://ubuntu:38855/', 'http://ubuntu:43512/', 'http://ubuntu:38779/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 17:26:02,469: +SUB [/tf] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,485: +SUB [/tf_static] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,529: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43512/
[rosmaster.master][INFO] 2017-10-04 17:26:02,553: +PUB [/image/screenpoint] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,556: +PUB [/image/screenpoint_array] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,557: +PUB [/image/screenrectangle] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,559: +PUB [/image/screenrectangle_image] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,560: +PUB [/image/movepoint] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,560: +PUB [/image/foreground] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,562: +PUB [/image/background] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,565: +PUB [/image/foreground_rect] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,573: +PUB [/image/background_rect] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,574: +PUB [/image/line] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,575: +PUB [/image/poly] /view http://ubuntu:38779/
[rosmaster.master][INFO] 2017-10-04 17:26:02,576: +SUB [/camera/image_raw] /mask_orange http://ubuntu:38855/
[rosmaster.master][INFO] 2017-10-04 17:26:02,713: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:38855/
[rosmaster.master][INFO] 2017-10-04 17:26:02,717: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:38855/
