[rosmaster.main][INFO] 2017-09-21 19:07:22,744: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:07:22,744: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:07:22,747: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 19:07:22,748: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:07:22,748: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:07:22,748: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 19:07:22,794: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:07:22,795: +PARAM [/roslaunch/uris/host_ubuntu__33964] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:07:22,872: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:07:22,872: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:07:22,872: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:07:22,885: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46659/
[rosmaster.master][INFO] 2017-09-21 19:07:22,887: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46659/
[rosmaster.master][INFO] 2017-09-21 19:07:22,903: +PUB [/rosout_agg] /rosout http://ubuntu:46659/
[rosmaster.master][INFO] 2017-09-21 19:07:22,929: +SUB [/rosout] /rosout http://ubuntu:46659/
[rosmaster.master][INFO] 2017-09-21 19:07:23,018: +PUB [/rosout] /image_converter http://ubuntu:40806/
[rosmaster.master][INFO] 2017-09-21 19:07:23,019: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:40806/
[rosmaster.master][INFO] 2017-09-21 19:07:23,020: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:40806/
[rosmaster.master][INFO] 2017-09-21 19:07:23,047: publisherUpdate[/rosout] -> http://ubuntu:46659/ ['http://ubuntu:40806/']
[rosmaster.master][INFO] 2017-09-21 19:07:23,049: publisherUpdate[/rosout] -> http://ubuntu:46659/ ['http://ubuntu:40806/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:07:23,071: +PUB [/rosout] /camera http://ubuntu:38411/
[rosmaster.master][INFO] 2017-09-21 19:07:23,072: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38411/
[rosmaster.master][INFO] 2017-09-21 19:07:23,073: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38411/
[rosmaster.master][INFO] 2017-09-21 19:07:23,092: +PUB [/rosout] /view http://ubuntu:33396/
[rosmaster.master][INFO] 2017-09-21 19:07:23,092: +SERVICE [/view/get_loggers] /view http://ubuntu:33396/
[rosmaster.master][INFO] 2017-09-21 19:07:23,093: +SERVICE [/view/set_logger_level] /view http://ubuntu:33396/
[rosmaster.master][INFO] 2017-09-21 19:07:23,104: +SUB [/tf] /view http://ubuntu:33396/
