[rosmaster.main][INFO] 2017-09-25 17:22:25,838: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:22:25,838: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:22:25,839: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-25 17:22:25,839: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:22:25,839: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:22:25,839: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-25 17:22:25,901: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:25,902: +PARAM [/roslaunch/uris/host_ubuntu__36282] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:25,963: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:25,963: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:25,963: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:25,975: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41781/
[rosmaster.master][INFO] 2017-09-25 17:22:25,979: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41781/
[rosmaster.master][INFO] 2017-09-25 17:22:25,989: +PUB [/rosout_agg] /rosout http://ubuntu:41781/
[rosmaster.master][INFO] 2017-09-25 17:22:25,996: +SUB [/rosout] /rosout http://ubuntu:41781/
[rosmaster.master][INFO] 2017-09-25 17:22:26,071: +PUB [/rosout] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,076: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,077: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,116: +PUB [/rosout] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,117: +SERVICE [/view/get_loggers] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,118: +SERVICE [/view/set_logger_level] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,122: +SUB [/tf] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,128: +PUB [/rosout] /camera http://ubuntu:46697/
[rosmaster.master][INFO] 2017-09-25 17:22:26,130: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46697/
[rosmaster.master][INFO] 2017-09-25 17:22:26,131: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46697/
[rosmaster.master][INFO] 2017-09-25 17:22:26,137: +SUB [/tf_static] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,140: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/']
[rosmaster.master][INFO] 2017-09-25 17:22:26,149: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:26,149: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/', 'http://ubuntu:42204/']
[rosmaster.master][INFO] 2017-09-25 17:22:26,149: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/', 'http://ubuntu:42204/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:26,149: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/', 'http://ubuntu:42204/', 'http://ubuntu:46697/']
[rosmaster.master][INFO] 2017-09-25 17:22:26,150: publisherUpdate[/rosout] -> http://ubuntu:41781/ ['http://ubuntu:36286/', 'http://ubuntu:42204/', 'http://ubuntu:46697/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:26,203: +PUB [/image/screenpoint] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,204: +PUB [/image/screenpoint_array] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,205: +PUB [/image/screenrectangle] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,206: +PUB [/image/screenrectangle_image] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,206: +PUB [/image/movepoint] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,208: +PUB [/image/foreground] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,209: +PUB [/image/background] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,212: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46697/
[rosmaster.master][INFO] 2017-09-25 17:22:26,213: +PUB [/image/foreground_rect] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,215: +PUB [/image/background_rect] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,216: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:55086
[rosmaster.master][INFO] 2017-09-25 17:22:26,219: +PUB [/image/line] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,220: +PUB [/image/poly] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,236: +SUB [/camera/image_raw] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,303: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,304: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,305: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,305: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:36286/
[rosmaster.master][INFO] 2017-09-25 17:22:26,307: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,308: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,313: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,314: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,315: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,315: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:26,325: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,326: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42204/
[rosmaster.master][INFO] 2017-09-25 17:22:26,327: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42204/
