[rosmaster.main][INFO] 2017-09-26 18:47:10,716: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:47:10,716: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:47:10,717: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:47:10,717: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:47:10,717: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:47:10,717: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:47:10,755: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:47:10,756: +PARAM [/roslaunch/uris/host_ubuntu__34609] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:47:10,822: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:47:10,822: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:47:10,822: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:47:10,851: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35118/
[rosmaster.master][INFO] 2017-09-26 18:47:10,853: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35118/
[rosmaster.master][INFO] 2017-09-26 18:47:10,858: +PUB [/rosout_agg] /rosout http://ubuntu:35118/
[rosmaster.master][INFO] 2017-09-26 18:47:10,896: +SUB [/rosout] /rosout http://ubuntu:35118/
[rosmaster.master][INFO] 2017-09-26 18:47:10,987: +PUB [/rosout] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:10,991: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:10,995: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,018: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/']
[rosmaster.master][INFO] 2017-09-26 18:47:11,019: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:47:11,071: +PUB [/rosout] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,072: +PUB [/rosout] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,073: +SERVICE [/view/get_loggers] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,073: +SERVICE [/view/set_logger_level] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,075: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,078: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,108: +SUB [/tf] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,119: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/', 'http://ubuntu:38307/']
[rosmaster.master][INFO] 2017-09-26 18:47:11,123: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/', 'http://ubuntu:38307/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:47:11,123: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/', 'http://ubuntu:38307/', 'http://ubuntu:38403/']
[rosmaster.master][INFO] 2017-09-26 18:47:11,126: publisherUpdate[/rosout] -> http://ubuntu:35118/ ['http://ubuntu:39203/', 'http://ubuntu:38307/', 'http://ubuntu:38403/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:47:11,126: +SUB [/tf_static] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,179: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,202: +SUB [/camera/image_raw] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,208: +PUB [/image/screenpoint] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,208: +PUB [/image/screenpoint_array] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,209: +PUB [/image/screenrectangle] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,211: +PUB [/image/screenrectangle_image] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,212: +PUB [/image/movepoint] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,213: +PUB [/image/foreground] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,215: +PUB [/image/background] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,216: +PUB [/image/foreground_rect] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,219: +PUB [/image/background_rect] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,223: +PUB [/image/line] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,226: +PUB [/image/poly] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,302: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,303: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,304: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,305: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,316: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,317: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,318: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,319: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,323: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,328: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,343: +PUB [/image_marked/compressedDepth] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,344: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,345: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,346: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,354: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,355: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,358: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,359: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,361: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,367: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,436: +PUB [/image/compressed] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,439: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,440: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,441: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,443: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,444: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,445: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,452: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,456: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,459: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:47:11,479: +PUB [/image_marked/compressed] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,482: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,483: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,484: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:38307/
[rosmaster.master][INFO] 2017-09-26 18:47:11,494: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,495: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,498: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,499: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,505: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,507: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:47:11,515: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,520: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,523: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,525: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:38403/
[rosmaster.master][INFO] 2017-09-26 18:47:11,540: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,546: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,547: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,550: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,559: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,560: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-26 18:47:11,576: +PUB [/image] /mask_orange http://ubuntu:39203/
[rosmaster.master][INFO] 2017-09-26 18:47:11,625: +PUB [/image_marked] /view http://ubuntu:38307/
