[rosmaster.main][INFO] 2017-10-03 18:46:10,761: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:46:10,761: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:46:10,762: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-03 18:46:10,762: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:46:10,762: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:46:10,762: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-03 18:46:10,813: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:46:10,815: +PARAM [/roslaunch/uris/host_ubuntu__41387] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:46:10,896: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:46:10,896: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:46:10,896: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:46:10,901: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43087/
[rosmaster.master][INFO] 2017-10-03 18:46:10,903: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43087/
[rosmaster.master][INFO] 2017-10-03 18:46:10,906: +PUB [/rosout_agg] /rosout http://ubuntu:43087/
[rosmaster.master][INFO] 2017-10-03 18:46:10,931: +SUB [/rosout] /rosout http://ubuntu:43087/
[rosmaster.master][INFO] 2017-10-03 18:46:11,039: +PUB [/rosout] /mask_orange http://ubuntu:39315/
[rosmaster.master][INFO] 2017-10-03 18:46:11,039: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39315/
[rosmaster.master][INFO] 2017-10-03 18:46:11,040: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39315/
[rosmaster.master][INFO] 2017-10-03 18:46:11,063: publisherUpdate[/rosout] -> http://ubuntu:43087/ ['http://ubuntu:39315/']
[rosmaster.master][INFO] 2017-10-03 18:46:11,065: publisherUpdate[/rosout] -> http://ubuntu:43087/ ['http://ubuntu:39315/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:46:11,080: +PUB [/rosout] /camera http://ubuntu:43689/
[rosmaster.master][INFO] 2017-10-03 18:46:11,081: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43689/
[rosmaster.master][INFO] 2017-10-03 18:46:11,082: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43689/
[rosmaster.master][INFO] 2017-10-03 18:46:11,103: +PUB [/rosout] /view http://ubuntu:36038/
[rosmaster.master][INFO] 2017-10-03 18:46:11,107: +SERVICE [/view/get_loggers] /view http://ubuntu:36038/
[rosmaster.master][INFO] 2017-10-03 18:46:11,111: +SERVICE [/view/set_logger_level] /view http://ubuntu:36038/
[rosmaster.master][INFO] 2017-10-03 18:46:11,120: +SUB [/tf] /view http://ubuntu:36038/
[rosmaster.master][INFO] 2017-10-03 18:46:11,133: +SUB [/tf_static] /view http://ubuntu:36038/
[rosmaster.master][INFO] 2017-10-03 18:46:11,159: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43689/
[rosmaster.master][INFO] 2017-10-03 18:46:11,164: publisherUpdate[/rosout] -> http://ubuntu:43087/ ['http://ubuntu:39315/', 'http://ubuntu:43689/']
[rosmaster.master][INFO] 2017-10-03 18:46:11,165: publisherUpdate[/rosout] -> http://ubuntu:43087/ ['http://ubuntu:39315/', 'http://ubuntu:43689/']: sec=0.00, result=[1, '', 0]
