[rosmaster.main][INFO] 2017-09-25 17:22:37,875: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:22:37,875: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:22:37,876: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-25 17:22:37,876: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:22:37,876: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:22:37,876: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:22:37,936: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:37,937: +PARAM [/roslaunch/uris/host_ubuntu__33103] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:37,998: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:37,999: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:37,999: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:22:38,020: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46054/
[rosmaster.master][INFO] 2017-09-25 17:22:38,023: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46054/
[rosmaster.master][INFO] 2017-09-25 17:22:38,026: +PUB [/rosout_agg] /rosout http://ubuntu:46054/
[rosmaster.master][INFO] 2017-09-25 17:22:38,038: +SUB [/rosout] /rosout http://ubuntu:46054/
[rosmaster.master][INFO] 2017-09-25 17:22:38,108: +PUB [/rosout] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,109: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,111: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,152: +PUB [/rosout] /camera http://ubuntu:45343/
[rosmaster.master][INFO] 2017-09-25 17:22:38,152: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45343/
[rosmaster.master][INFO] 2017-09-25 17:22:38,153: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45343/
[rosmaster.master][INFO] 2017-09-25 17:22:38,161: +PUB [/rosout] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,162: +SERVICE [/view/get_loggers] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,163: +SERVICE [/view/set_logger_level] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,174: +SUB [/tf] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,178: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/']
[rosmaster.master][INFO] 2017-09-25 17:22:38,181: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:38,181: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:45343/']
[rosmaster.master][INFO] 2017-09-25 17:22:38,184: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:45343/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:38,184: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:45343/', 'http://ubuntu:39328/']
[rosmaster.master][INFO] 2017-09-25 17:22:38,188: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:45343/', 'http://ubuntu:39328/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:38,193: +SUB [/tf_static] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,228: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:45343/
[rosmaster.master][INFO] 2017-09-25 17:22:38,230: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:49784
[rosmaster.master][INFO] 2017-09-25 17:22:38,260: +PUB [/image/screenpoint] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,261: +PUB [/image/screenpoint_array] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,262: +PUB [/image/screenrectangle] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,263: +PUB [/image/screenrectangle_image] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,263: +PUB [/image/movepoint] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,264: +PUB [/image/foreground] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,265: +PUB [/image/background] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,268: +PUB [/image/foreground_rect] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,270: +PUB [/image/background_rect] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,274: +PUB [/image/line] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,277: +PUB [/image/poly] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,288: +SUB [/camera/image_raw] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,348: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,351: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,352: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,353: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,356: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,356: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,360: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,361: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,362: +PUB [/image_marked/compressedDepth] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,363: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,364: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,365: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,366: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,372: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,376: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,379: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,380: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,381: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,383: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,384: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,393: -PUB [/rosout] /camera http://ubuntu:45343/
[rosmaster.master][INFO] 2017-09-25 17:22:38,397: -SERVICE [/camera/get_loggers] /camera rosrpc://ubuntu:49784
[rosmaster.master][INFO] 2017-09-25 17:22:38,398: -SERVICE [/camera/set_logger_level] /camera rosrpc://ubuntu:49784
[rosmaster.master][INFO] 2017-09-25 17:22:38,440: +PUB [/image/compressed] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,441: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,442: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,443: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,445: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,446: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,447: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,447: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,448: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,450: +PARAM [/image/compressed/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,458: +PUB [/image_marked/compressed] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,459: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,460: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,465: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,468: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,469: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,473: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,474: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,474: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,475: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,483: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:39328/']
[rosmaster.master][INFO] 2017-09-25 17:22:38,483: publisherUpdate[/rosout] -> http://ubuntu:46054/ ['http://ubuntu:42209/', 'http://ubuntu:39328/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:22:38,516: +PUB [/image] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,552: +PUB [/image_marked] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,605: +PUB [/image/theora] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,608: +SERVICE [/image/theora/set_parameters] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,609: +PUB [/image/theora/parameter_descriptions] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,610: +PUB [/image/theora/parameter_updates] /mask_orange http://ubuntu:42209/
[rosmaster.master][INFO] 2017-09-25 17:22:38,613: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,617: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,617: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,618: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,619: +PARAM [/image/theora/optimize_for] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,621: +PARAM [/image/theora/target_bitrate] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,624: +PARAM [/image/theora/quality] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,625: +PARAM [/image/theora/keyframe_frequency] by /mask_orange
[rosmaster.master][INFO] 2017-09-25 17:22:38,628: +PUB [/image_marked/theora] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,629: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,630: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,631: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,633: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,634: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,635: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,635: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,636: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,637: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,637: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,638: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,664: +PUB [/image/marked/compressedDepth] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,665: +SERVICE [/image/marked/compressedDepth/set_parameters] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,666: +PUB [/image/marked/compressedDepth/parameter_descriptions] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,666: +PUB [/image/marked/compressedDepth/parameter_updates] /view http://ubuntu:39328/
[rosmaster.master][INFO] 2017-09-25 17:22:38,669: +PARAM [/image/marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-25 17:22:38,669: +PARAM [/image/marked/compressedDepth/depth_quantization] by /view
