[rosmaster.main][INFO] 2017-09-20 16:59:59,600: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 16:59:59,600: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 16:59:59,601: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 16:59:59,601: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 16:59:59,601: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 16:59:59,601: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 16:59:59,718: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:59,738: +PARAM [/roslaunch/uris/host_ubuntu__35451] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:59,858: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:59,858: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:59,858: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 16:59:59,874: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42273/
[rosmaster.master][INFO] 2017-09-20 16:59:59,875: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42273/
[rosmaster.master][INFO] 2017-09-20 16:59:59,884: +PUB [/rosout_agg] /rosout http://ubuntu:42273/
[rosmaster.master][INFO] 2017-09-20 16:59:59,902: +SUB [/rosout] /rosout http://ubuntu:42273/
[rosmaster.master][INFO] 2017-09-20 17:00:00,041: +PUB [/rosout] /image_converter http://ubuntu:37258/
[rosmaster.master][INFO] 2017-09-20 17:00:00,045: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37258/
[rosmaster.master][INFO] 2017-09-20 17:00:00,048: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37258/
[rosmaster.master][INFO] 2017-09-20 17:00:00,105: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/']
[rosmaster.master][INFO] 2017-09-20 17:00:00,116: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:00:00,149: +PUB [/rosout] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,151: +PUB [/rosout] /camera http://ubuntu:38354/
[rosmaster.master][INFO] 2017-09-20 17:00:00,152: +SERVICE [/view/get_loggers] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,153: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38354/
[rosmaster.master][INFO] 2017-09-20 17:00:00,156: +SERVICE [/view/set_logger_level] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,161: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38354/
[rosmaster.master][INFO] 2017-09-20 17:00:00,177: +SUB [/tf] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,190: +SUB [/tf_static] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,209: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/', 'http://ubuntu:39515/']
[rosmaster.master][INFO] 2017-09-20 17:00:00,210: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/', 'http://ubuntu:39515/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:00:00,210: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/', 'http://ubuntu:39515/', 'http://ubuntu:38354/']
[rosmaster.master][INFO] 2017-09-20 17:00:00,210: publisherUpdate[/rosout] -> http://ubuntu:42273/ ['http://ubuntu:37258/', 'http://ubuntu:39515/', 'http://ubuntu:38354/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:00:00,249: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38354/
[rosmaster.master][INFO] 2017-09-20 17:00:00,264: +PUB [/image/screenpoint] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,265: +PUB [/image/screenpoint_array] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,266: +PUB [/image/screenrectangle] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,266: +PUB [/image/screenrectangle_image] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,267: +PUB [/image/movepoint] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,268: +PUB [/image/foreground] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,269: +PUB [/image/background] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,271: +PUB [/image/foreground_rect] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,272: +PUB [/image/background_rect] /view http://ubuntu:39515/
[rosmaster.master][INFO] 2017-09-20 17:00:00,274: +PUB [/image/line] /view http://ubuntu:39515/
