[rosmaster.main][INFO] 2017-09-26 17:28:44,729: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 17:28:44,729: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 17:28:44,730: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 17:28:44,730: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 17:28:44,730: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 17:28:44,731: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 17:28:44,776: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:28:44,777: +PARAM [/roslaunch/uris/host_ubuntu__40506] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:28:44,847: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:28:44,847: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:28:44,848: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:28:44,867: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40475/
[rosmaster.master][INFO] 2017-09-26 17:28:44,871: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40475/
[rosmaster.master][INFO] 2017-09-26 17:28:44,876: +PUB [/rosout_agg] /rosout http://ubuntu:40475/
[rosmaster.master][INFO] 2017-09-26 17:28:44,899: +SUB [/rosout] /rosout http://ubuntu:40475/
[rosmaster.master][INFO] 2017-09-26 17:28:44,977: +PUB [/rosout] /mask_orange http://ubuntu:35931/
[rosmaster.master][INFO] 2017-09-26 17:28:44,984: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:35931/
[rosmaster.master][INFO] 2017-09-26 17:28:44,986: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:35931/
[rosmaster.master][INFO] 2017-09-26 17:28:45,031: publisherUpdate[/rosout] -> http://ubuntu:40475/ ['http://ubuntu:35931/']
[rosmaster.master][INFO] 2017-09-26 17:28:45,033: publisherUpdate[/rosout] -> http://ubuntu:40475/ ['http://ubuntu:35931/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:28:45,061: +PUB [/rosout] /view http://ubuntu:38325/
[rosmaster.master][INFO] 2017-09-26 17:28:45,062: +SERVICE [/view/get_loggers] /view http://ubuntu:38325/
[rosmaster.master][INFO] 2017-09-26 17:28:45,063: +SERVICE [/view/set_logger_level] /view http://ubuntu:38325/
[rosmaster.master][INFO] 2017-09-26 17:28:45,076: +PUB [/rosout] /camera http://ubuntu:46303/
[rosmaster.master][INFO] 2017-09-26 17:28:45,080: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46303/
[rosmaster.master][INFO] 2017-09-26 17:28:45,080: +SUB [/tf] /view http://ubuntu:38325/
