[rosmaster.main][INFO] 2017-09-28 16:29:10,647: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-28 16:29:10,647: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-28 16:29:10,647: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-28 16:29:10,648: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-28 16:29:10,648: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-28 16:29:10,648: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-28 16:29:10,695: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:29:10,697: +PARAM [/roslaunch/uris/host_ubuntu__36084] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:29:10,785: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:29:10,785: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:29:10,786: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:29:10,820: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33106/
[rosmaster.master][INFO] 2017-09-28 16:29:10,822: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33106/
[rosmaster.master][INFO] 2017-09-28 16:29:10,829: +PUB [/rosout_agg] /rosout http://ubuntu:33106/
[rosmaster.master][INFO] 2017-09-28 16:29:10,854: +SUB [/rosout] /rosout http://ubuntu:33106/
[rosmaster.master][INFO] 2017-09-28 16:29:10,999: +PUB [/rosout] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,001: +SERVICE [/mask/get_loggers] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,002: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,012: +PUB [/rosout] /camera http://ubuntu:40228/
[rosmaster.master][INFO] 2017-09-28 16:29:11,013: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40228/
[rosmaster.master][INFO] 2017-09-28 16:29:11,015: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40228/
[rosmaster.master][INFO] 2017-09-28 16:29:11,033: +PUB [/rosout] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,034: +SERVICE [/view/get_loggers] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,034: +SERVICE [/view/set_logger_level] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,048: +SUB [/tf] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,053: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/']
[rosmaster.master][INFO] 2017-09-28 16:29:11,055: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:29:11,055: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/', 'http://ubuntu:40228/']
[rosmaster.master][INFO] 2017-09-28 16:29:11,058: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/', 'http://ubuntu:40228/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:29:11,058: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/', 'http://ubuntu:40228/', 'http://ubuntu:38710/']
[rosmaster.master][INFO] 2017-09-28 16:29:11,060: publisherUpdate[/rosout] -> http://ubuntu:33106/ ['http://ubuntu:44774/', 'http://ubuntu:40228/', 'http://ubuntu:38710/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:29:11,063: +SUB [/tf_static] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,072: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40228/
[rosmaster.master][INFO] 2017-09-28 16:29:11,113: +PUB [/image/screenpoint] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,114: +PUB [/image/screenpoint_array] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,115: +PUB [/image/screenrectangle] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,116: +PUB [/image/screenrectangle_image] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,117: +PUB [/image/movepoint] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,118: +PUB [/image/foreground] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,120: +PUB [/image/background] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,124: +PUB [/image/foreground_rect] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,126: +PUB [/image/background_rect] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,127: +PUB [/image/line] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,127: +PUB [/image/poly] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,353: +SUB [/camera/image_raw] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,418: +PUB [/image_marked/compressedDepth] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,419: +PUB [/image/compressedDepth] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,420: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,421: +SERVICE [/image/compressedDepth/set_parameters] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,422: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,424: +PUB [/image/compressedDepth/parameter_descriptions] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,425: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:38710/
[rosmaster.master][INFO] 2017-09-28 16:29:11,426: +PUB [/image/compressedDepth/parameter_updates] /mask http://ubuntu:44774/
[rosmaster.master][INFO] 2017-09-28 16:29:11,432: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-28 16:29:11,433: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-28 16:29:11,434: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-28 16:29:11,435: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-28 16:29:11,436: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-28 16:29:11,438: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-28 16:29:11,439: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-28 16:29:11,440: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-28 16:29:11,441: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
