[rosmaster.main][INFO] 2017-09-21 17:06:07,575: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 17:06:07,575: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 17:06:07,575: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-21 17:06:07,576: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 17:06:07,576: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 17:06:07,576: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-21 17:06:07,632: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:06:07,634: +PARAM [/roslaunch/uris/host_ubuntu__46160] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:06:07,717: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:06:07,717: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:06:07,717: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 17:06:07,754: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44453/
[rosmaster.master][INFO] 2017-09-21 17:06:07,758: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44453/
[rosmaster.master][INFO] 2017-09-21 17:06:07,759: +PUB [/rosout_agg] /rosout http://ubuntu:44453/
[rosmaster.master][INFO] 2017-09-21 17:06:07,766: +SUB [/rosout] /rosout http://ubuntu:44453/
[rosmaster.master][INFO] 2017-09-21 17:06:07,884: +PUB [/rosout] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:07,886: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:07,888: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:07,977: +PUB [/rosout] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:07,978: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/']
[rosmaster.master][INFO] 2017-09-21 17:06:07,980: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:06:07,980: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/', 'http://ubuntu:38306/']
[rosmaster.master][INFO] 2017-09-21 17:06:07,981: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/', 'http://ubuntu:38306/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:06:07,982: +SERVICE [/view/get_loggers] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:07,986: +PUB [/rosout] /camera http://ubuntu:38862/
[rosmaster.master][INFO] 2017-09-21 17:06:07,986: +SERVICE [/view/set_logger_level] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:07,987: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38862/
[rosmaster.master][INFO] 2017-09-21 17:06:07,989: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38862/
[rosmaster.master][INFO] 2017-09-21 17:06:08,006: +SUB [/tf] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,016: +SUB [/tf_static] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,030: +SUB [/camera/image_raw] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,062: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38862/
[rosmaster.master][INFO] 2017-09-21 17:06:08,074: +PUB [/image/screenpoint] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,074: +PUB [/image/screenpoint_array] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,075: +PUB [/image/screenrectangle] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,076: +PUB [/image/screenrectangle_image] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,076: +PUB [/image/movepoint] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,077: +PUB [/image/foreground] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,079: +PUB [/image/background] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,079: +PUB [/image/foreground_rect] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,081: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/', 'http://ubuntu:38306/', 'http://ubuntu:38862/']
[rosmaster.master][INFO] 2017-09-21 17:06:08,081: publisherUpdate[/rosout] -> http://ubuntu:44453/ ['http://ubuntu:37889/', 'http://ubuntu:38306/', 'http://ubuntu:38862/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 17:06:08,085: +PUB [/image/background_rect] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,086: +PUB [/image/line] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,087: +PUB [/image/poly] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,110: +PUB [/image/compressedDepth] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,111: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,112: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,112: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,119: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,119: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,120: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,121: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,121: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,343: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,399: +PUB [/image_marked/compressedDepth] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,400: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,400: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,401: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,403: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,404: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,409: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,410: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,410: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,411: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 17:06:08,429: +PUB [/image/compressed] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,430: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,431: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,432: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-21 17:06:08,437: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,438: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,439: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,439: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,440: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,441: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 17:06:08,469: +PUB [/image_marked/compressed] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,470: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,471: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,471: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:38306/
[rosmaster.master][INFO] 2017-09-21 17:06:08,473: +PARAM [/image_marked/compressed/format] by /view
