[rosmaster.main][INFO] 2017-10-03 18:32:08,173: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:32:08,173: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:32:08,174: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-03 18:32:08,174: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:32:08,174: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:32:08,174: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-03 18:32:08,211: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:32:08,212: +PARAM [/roslaunch/uris/host_ubuntu__45152] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:32:08,292: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:32:08,293: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:32:08,293: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:32:08,343: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33824/
[rosmaster.master][INFO] 2017-10-03 18:32:08,344: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33824/
[rosmaster.master][INFO] 2017-10-03 18:32:08,351: +PUB [/rosout_agg] /rosout http://ubuntu:33824/
[rosmaster.master][INFO] 2017-10-03 18:32:08,382: +SUB [/rosout] /rosout http://ubuntu:33824/
[rosmaster.master][INFO] 2017-10-03 18:32:08,455: +PUB [/rosout] /mask_orange http://ubuntu:43364/
[rosmaster.master][INFO] 2017-10-03 18:32:08,456: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:43364/
[rosmaster.master][INFO] 2017-10-03 18:32:08,457: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:43364/
[rosmaster.master][INFO] 2017-10-03 18:32:08,475: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/']
[rosmaster.master][INFO] 2017-10-03 18:32:08,476: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:32:08,498: +PUB [/rosout] /camera http://ubuntu:37500/
[rosmaster.master][INFO] 2017-10-03 18:32:08,501: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37500/
[rosmaster.master][INFO] 2017-10-03 18:32:08,502: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37500/
[rosmaster.master][INFO] 2017-10-03 18:32:08,543: +PUB [/rosout] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,544: +SERVICE [/view/get_loggers] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,545: +SERVICE [/view/set_logger_level] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,558: +SUB [/tf] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,568: +SUB [/tf_static] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,577: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/', 'http://ubuntu:37500/']
[rosmaster.master][INFO] 2017-10-03 18:32:08,578: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/', 'http://ubuntu:37500/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:32:08,578: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/', 'http://ubuntu:37500/', 'http://ubuntu:38883/']
[rosmaster.master][INFO] 2017-10-03 18:32:08,578: publisherUpdate[/rosout] -> http://ubuntu:33824/ ['http://ubuntu:43364/', 'http://ubuntu:37500/', 'http://ubuntu:38883/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:32:08,591: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37500/
[rosmaster.master][INFO] 2017-10-03 18:32:08,611: +SUB [/camera/image_raw] /mask_orange http://ubuntu:43364/
[rosmaster.master][INFO] 2017-10-03 18:32:08,618: +PUB [/image/screenpoint] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,619: +PUB [/image/screenpoint_array] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,624: +PUB [/image/screenrectangle] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,624: +PUB [/image/screenrectangle_image] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,625: +PUB [/image/movepoint] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,626: +PUB [/image/foreground] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,626: +PUB [/image/background] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,627: +PUB [/image/foreground_rect] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,628: +PUB [/image/background_rect] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,628: +PUB [/image/line] /view http://ubuntu:38883/
[rosmaster.master][INFO] 2017-10-03 18:32:08,629: +PUB [/image/poly] /view http://ubuntu:38883/
