[rosmaster.main][INFO] 2017-09-20 17:57:27,053: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 17:57:27,053: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 17:57:27,054: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 17:57:27,054: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 17:57:27,055: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 17:57:27,055: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 17:57:27,113: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:57:27,114: +PARAM [/roslaunch/uris/host_ubuntu__40523] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:57:27,185: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:57:27,185: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:57:27,185: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:57:27,216: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:44135/
[rosmaster.master][INFO] 2017-09-20 17:57:27,218: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:44135/
[rosmaster.master][INFO] 2017-09-20 17:57:27,231: +PUB [/rosout_agg] /rosout http://ubuntu:44135/
[rosmaster.master][INFO] 2017-09-20 17:57:27,268: +SUB [/rosout] /rosout http://ubuntu:44135/
[rosmaster.master][INFO] 2017-09-20 17:57:27,423: +PUB [/rosout] /image_converter http://ubuntu:37994/
[rosmaster.master][INFO] 2017-09-20 17:57:27,427: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37994/
[rosmaster.master][INFO] 2017-09-20 17:57:27,429: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37994/
[rosmaster.master][INFO] 2017-09-20 17:57:27,455: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/']
[rosmaster.master][INFO] 2017-09-20 17:57:27,457: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:57:27,459: +PUB [/rosout] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,460: +SERVICE [/view/get_loggers] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,461: +SERVICE [/view/set_logger_level] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,468: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/', 'http://ubuntu:34941/']
[rosmaster.master][INFO] 2017-09-20 17:57:27,469: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/', 'http://ubuntu:34941/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:57:27,480: +SUB [/tf] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,498: +PUB [/rosout] /camera http://ubuntu:41978/
[rosmaster.master][INFO] 2017-09-20 17:57:27,511: +SERVICE [/camera/get_loggers] /camera http://ubuntu:41978/
[rosmaster.master][INFO] 2017-09-20 17:57:27,522: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:41978/
[rosmaster.master][INFO] 2017-09-20 17:57:27,528: +SUB [/tf_static] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,560: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/', 'http://ubuntu:34941/', 'http://ubuntu:41978/']
[rosmaster.master][INFO] 2017-09-20 17:57:27,565: publisherUpdate[/rosout] -> http://ubuntu:44135/ ['http://ubuntu:37994/', 'http://ubuntu:34941/', 'http://ubuntu:41978/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:57:27,669: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:41978/
[rosmaster.master][INFO] 2017-09-20 17:57:27,682: +PUB [/image/screenpoint] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,686: +PUB [/image/screenpoint_array] /view http://ubuntu:34941/
[rosmaster.master][INFO] 2017-09-20 17:57:27,690: +PUB [/image/screenrectangle] /view http://ubuntu:34941/
