[rosmaster.main][INFO] 2017-09-23 17:46:45,204: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 17:46:45,205: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 17:46:45,205: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-23 17:46:45,205: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 17:46:45,206: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 17:46:45,206: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-23 17:46:45,246: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:46:45,247: +PARAM [/roslaunch/uris/host_ubuntu__45132] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:46:45,345: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:46:45,345: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:46:45,345: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:46:45,391: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:33410/
[rosmaster.master][INFO] 2017-09-23 17:46:45,396: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:33410/
[rosmaster.master][INFO] 2017-09-23 17:46:45,400: +PUB [/rosout_agg] /rosout http://ubuntu:33410/
[rosmaster.master][INFO] 2017-09-23 17:46:45,441: +SUB [/rosout] /rosout http://ubuntu:33410/
[rosmaster.master][INFO] 2017-09-23 17:46:45,517: +PUB [/rosout] /mask_orange http://ubuntu:32985/
[rosmaster.master][INFO] 2017-09-23 17:46:45,519: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:32985/
[rosmaster.master][INFO] 2017-09-23 17:46:45,520: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:32985/
[rosmaster.master][INFO] 2017-09-23 17:46:45,608: publisherUpdate[/rosout] -> http://ubuntu:33410/ ['http://ubuntu:32985/']
[rosmaster.master][INFO] 2017-09-23 17:46:45,613: publisherUpdate[/rosout] -> http://ubuntu:33410/ ['http://ubuntu:32985/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 17:46:45,615: +PUB [/rosout] /view http://ubuntu:40828/
[rosmaster.master][INFO] 2017-09-23 17:46:45,621: +SERVICE [/view/get_loggers] /view http://ubuntu:40828/
[rosmaster.master][INFO] 2017-09-23 17:46:45,626: +SERVICE [/view/set_logger_level] /view http://ubuntu:40828/
[rosmaster.master][INFO] 2017-09-23 17:46:45,627: +PUB [/rosout] /camera http://ubuntu:36640/
[rosmaster.master][INFO] 2017-09-23 17:46:45,630: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36640/
[rosmaster.master][INFO] 2017-09-23 17:46:45,633: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36640/
[rosmaster.master][INFO] 2017-09-23 17:46:45,649: +SUB [/tf] /view http://ubuntu:40828/
[rosmaster.master][INFO] 2017-09-23 17:46:45,657: +SUB [/tf_static] /view http://ubuntu:40828/
[rosmaster.master][INFO] 2017-09-23 17:46:45,673: +SUB [/camera/image_raw] /mask_orange http://ubuntu:32985/
