[rosmaster.main][INFO] 2017-10-04 16:36:36,915: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 16:36:36,915: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 16:36:36,915: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 16:36:36,916: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 16:36:36,916: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 16:36:36,924: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 16:36:36,990: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:36:36,991: +PARAM [/roslaunch/uris/host_ubuntu__45255] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:36:37,084: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:36:37,084: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:36:37,084: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:36:37,160: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38942/
[rosmaster.master][INFO] 2017-10-04 16:36:37,162: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38942/
[rosmaster.master][INFO] 2017-10-04 16:36:37,210: +PUB [/rosout_agg] /rosout http://ubuntu:38942/
[rosmaster.master][INFO] 2017-10-04 16:36:37,223: +SUB [/rosout] /rosout http://ubuntu:38942/
[rosmaster.master][INFO] 2017-10-04 16:36:37,308: +PUB [/rosout] /mask_orange http://ubuntu:42314/
[rosmaster.master][INFO] 2017-10-04 16:36:37,310: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42314/
[rosmaster.master][INFO] 2017-10-04 16:36:37,312: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42314/
[rosmaster.master][INFO] 2017-10-04 16:36:37,318: publisherUpdate[/rosout] -> http://ubuntu:38942/ ['http://ubuntu:42314/']
[rosmaster.master][INFO] 2017-10-04 16:36:37,320: publisherUpdate[/rosout] -> http://ubuntu:38942/ ['http://ubuntu:42314/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 16:36:37,441: +PUB [/rosout] /view http://ubuntu:34024/
[rosmaster.master][INFO] 2017-10-04 16:36:37,443: +SERVICE [/view/get_loggers] /view http://ubuntu:34024/
[rosmaster.master][INFO] 2017-10-04 16:36:37,443: +SERVICE [/view/set_logger_level] /view http://ubuntu:34024/
[rosmaster.master][INFO] 2017-10-04 16:36:37,455: +SUB [/tf] /view http://ubuntu:34024/
[rosmaster.master][INFO] 2017-10-04 16:36:37,464: +SUB [/tf_static] /view http://ubuntu:34024/
