[rosmaster.main][INFO] 2017-09-13 16:33:00,949: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:33:00,949: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:33:00,950: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:33:00,950: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:33:00,950: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:33:00,951: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:33:01,002: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:33:01,005: +PARAM [/roslaunch/uris/host_ubuntu__44267] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:33:01,092: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:33:01,092: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:33:01,232: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41281/
[rosmaster.master][INFO] 2017-09-13 16:33:01,235: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41281/
[rosmaster.master][INFO] 2017-09-13 16:33:01,245: +PUB [/rosout_agg] /rosout http://ubuntu:41281/
[rosmaster.master][INFO] 2017-09-13 16:33:01,260: +SUB [/rosout] /rosout http://ubuntu:41281/
[rosmaster.master][INFO] 2017-09-13 16:33:01,469: +PUB [/rosout] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,471: +SERVICE [/view/get_loggers] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,472: +SERVICE [/view/set_logger_level] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,487: +SUB [/tf] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,494: +SUB [/tf_static] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,513: +PUB [/rosout] /camera http://ubuntu:38183/
[rosmaster.master][INFO] 2017-09-13 16:33:01,514: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38183/
[rosmaster.master][INFO] 2017-09-13 16:33:01,515: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38183/
[rosmaster.master][INFO] 2017-09-13 16:33:01,540: +PUB [/image/screenpoint] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,543: +PUB [/image/screenpoint_array] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,544: +PUB [/image/screenrectangle] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,544: +PUB [/image/screenrectangle_image] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,548: +PUB [/image/movepoint] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,552: +PUB [/image/foreground] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,552: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/']
[rosmaster.master][INFO] 2017-09-13 16:33:01,556: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:33:01,556: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/', 'http://ubuntu:38183/']
[rosmaster.master][INFO] 2017-09-13 16:33:01,557: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/', 'http://ubuntu:38183/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:33:01,557: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:38183/
[rosmaster.master][INFO] 2017-09-13 16:33:01,561: +PUB [/image/background] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,563: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:49212
[rosmaster.master][INFO] 2017-09-13 16:33:01,568: +PUB [/image/foreground_rect] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,569: +PUB [/image/background_rect] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,569: +PUB [/image/line] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,570: +PUB [/image/poly] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,738: +PUB [/image_marked/compressedDepth] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,739: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,739: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,740: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,742: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,743: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,744: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,745: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,745: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,746: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,759: -PUB [/rosout] /camera http://ubuntu:38183/
[rosmaster.master][INFO] 2017-09-13 16:33:01,760: -SERVICE [/camera/get_loggers] /camera rosrpc://ubuntu:49212
[rosmaster.master][INFO] 2017-09-13 16:33:01,762: -SERVICE [/camera/set_logger_level] /camera rosrpc://ubuntu:49212
[rosmaster.master][INFO] 2017-09-13 16:33:01,788: +PUB [/image_marked/compressed] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,790: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,791: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,793: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,798: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,800: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,801: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,802: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,803: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,803: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,832: +PUB [/image_marked] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,853: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/']
[rosmaster.master][INFO] 2017-09-13 16:33:01,854: publisherUpdate[/rosout] -> http://ubuntu:41281/ ['http://ubuntu:34359/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:33:01,863: +PUB [/image_marked/theora] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,864: +SERVICE [/image_marked/theora/set_parameters] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,865: +PUB [/image_marked/theora/parameter_descriptions] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,866: +PUB [/image_marked/theora/parameter_updates] /view http://ubuntu:34359/
[rosmaster.master][INFO] 2017-09-13 16:33:01,868: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,869: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,869: +PARAM [/image_marked/theora/quality] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,870: +PARAM [/image_marked/theora/keyframe_frequency] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,871: +PARAM [/image_marked/theora/optimize_for] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,871: +PARAM [/image_marked/theora/target_bitrate] by /view
[rosmaster.master][INFO] 2017-09-13 16:33:01,872: +PARAM [/image_marked/theora/quality] by /view
