[rosmaster.main][INFO] 2017-09-25 17:23:13,471: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-25 17:23:13,471: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-25 17:23:13,472: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-25 17:23:13,473: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-25 17:23:13,473: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-25 17:23:13,473: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-25 17:23:13,489: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:23:13,491: +PARAM [/roslaunch/uris/host_ubuntu__32944] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:23:13,569: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:23:13,569: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:23:13,569: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-25 17:23:13,577: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39752/
[rosmaster.master][INFO] 2017-09-25 17:23:13,580: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39752/
[rosmaster.master][INFO] 2017-09-25 17:23:13,585: +PUB [/rosout_agg] /rosout http://ubuntu:39752/
[rosmaster.master][INFO] 2017-09-25 17:23:13,612: +SUB [/rosout] /rosout http://ubuntu:39752/
[rosmaster.master][INFO] 2017-09-25 17:23:13,674: +PUB [/rosout] /mask_orange http://ubuntu:42748/
[rosmaster.master][INFO] 2017-09-25 17:23:13,675: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:42748/
[rosmaster.master][INFO] 2017-09-25 17:23:13,676: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:42748/
[rosmaster.master][INFO] 2017-09-25 17:23:13,726: +PUB [/rosout] /camera http://ubuntu:38942/
[rosmaster.master][INFO] 2017-09-25 17:23:13,727: +SERVICE [/camera/get_loggers] /camera http://ubuntu:38942/
[rosmaster.master][INFO] 2017-09-25 17:23:13,727: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:38942/
[rosmaster.master][INFO] 2017-09-25 17:23:13,734: +PUB [/rosout] /view http://ubuntu:42220/
[rosmaster.master][INFO] 2017-09-25 17:23:13,735: +SERVICE [/view/get_loggers] /view http://ubuntu:42220/
[rosmaster.master][INFO] 2017-09-25 17:23:13,736: +SERVICE [/view/set_logger_level] /view http://ubuntu:42220/
[rosmaster.master][INFO] 2017-09-25 17:23:13,747: +SUB [/tf] /view http://ubuntu:42220/
[rosmaster.master][INFO] 2017-09-25 17:23:13,757: +SUB [/tf_static] /view http://ubuntu:42220/
[rosmaster.master][INFO] 2017-09-25 17:23:13,774: publisherUpdate[/rosout] -> http://ubuntu:39752/ ['http://ubuntu:42748/']
[rosmaster.master][INFO] 2017-09-25 17:23:13,776: publisherUpdate[/rosout] -> http://ubuntu:39752/ ['http://ubuntu:42748/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-25 17:23:13,776: publisherUpdate[/rosout] -> http://ubuntu:39752/ ['http://ubuntu:42748/', 'http://ubuntu:38942/']
