[rosmaster.main][INFO] 2017-10-04 13:30:39,640: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:30:39,640: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:30:39,641: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:30:39,641: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:30:39,641: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:30:39,641: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:30:39,701: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:30:39,705: +PARAM [/roslaunch/uris/host_ubuntu__37372] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:30:39,788: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:30:39,788: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:30:39,788: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:30:39,848: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39839/
[rosmaster.master][INFO] 2017-10-04 13:30:39,849: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39839/
[rosmaster.master][INFO] 2017-10-04 13:30:39,851: +PUB [/rosout_agg] /rosout http://ubuntu:39839/
[rosmaster.master][INFO] 2017-10-04 13:30:39,889: +SUB [/rosout] /rosout http://ubuntu:39839/
[rosmaster.master][INFO] 2017-10-04 13:30:39,956: +PUB [/rosout] /mask_orange http://ubuntu:33306/
[rosmaster.master][INFO] 2017-10-04 13:30:39,957: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:33306/
[rosmaster.master][INFO] 2017-10-04 13:30:39,958: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:33306/
[rosmaster.master][INFO] 2017-10-04 13:30:39,997: +PUB [/rosout] /view http://ubuntu:46862/
[rosmaster.master][INFO] 2017-10-04 13:30:40,001: +SERVICE [/view/get_loggers] /view http://ubuntu:46862/
[rosmaster.master][INFO] 2017-10-04 13:30:40,002: +SERVICE [/view/set_logger_level] /view http://ubuntu:46862/
[rosmaster.master][INFO] 2017-10-04 13:30:40,006: +PUB [/rosout] /camera http://ubuntu:44371/
[rosmaster.master][INFO] 2017-10-04 13:30:40,010: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44371/
[rosmaster.master][INFO] 2017-10-04 13:30:40,013: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44371/
[rosmaster.master][INFO] 2017-10-04 13:30:40,022: +SUB [/tf] /view http://ubuntu:46862/
[rosmaster.master][INFO] 2017-10-04 13:30:40,035: +SUB [/tf_static] /view http://ubuntu:46862/
[rosmaster.master][INFO] 2017-10-04 13:30:40,042: publisherUpdate[/rosout] -> http://ubuntu:39839/ ['http://ubuntu:33306/']
[rosmaster.master][INFO] 2017-10-04 13:30:40,052: publisherUpdate[/rosout] -> http://ubuntu:39839/ ['http://ubuntu:33306/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:30:40,052: publisherUpdate[/rosout] -> http://ubuntu:39839/ ['http://ubuntu:33306/', 'http://ubuntu:46862/']
[rosmaster.master][INFO] 2017-10-04 13:30:40,052: publisherUpdate[/rosout] -> http://ubuntu:39839/ ['http://ubuntu:33306/', 'http://ubuntu:46862/']: sec=0.00, result=[1, '', 0]
