[rosmaster.main][INFO] 2017-10-04 13:02:02,511: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 13:02:02,511: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 13:02:02,512: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 13:02:02,512: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 13:02:02,513: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 13:02:02,513: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 13:02:02,568: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:02,576: +PARAM [/roslaunch/uris/host_ubuntu__45157] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:02,643: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:02,643: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:02,643: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 13:02:02,649: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35834/
[rosmaster.master][INFO] 2017-10-04 13:02:02,650: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35834/
[rosmaster.master][INFO] 2017-10-04 13:02:02,653: +PUB [/rosout_agg] /rosout http://ubuntu:35834/
[rosmaster.master][INFO] 2017-10-04 13:02:02,677: +SUB [/rosout] /rosout http://ubuntu:35834/
[rosmaster.master][INFO] 2017-10-04 13:02:02,768: +PUB [/rosout] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,769: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,769: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,811: +PUB [/rosout] /camera http://ubuntu:37033/
[rosmaster.master][INFO] 2017-10-04 13:02:02,812: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37033/
[rosmaster.master][INFO] 2017-10-04 13:02:02,813: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/']
[rosmaster.master][INFO] 2017-10-04 13:02:02,814: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:02,814: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/', 'http://ubuntu:37033/']
[rosmaster.master][INFO] 2017-10-04 13:02:02,814: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/', 'http://ubuntu:37033/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:02,815: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37033/
[rosmaster.master][INFO] 2017-10-04 13:02:02,825: +PUB [/rosout] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,829: +SERVICE [/view/get_loggers] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,830: +SERVICE [/view/set_logger_level] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,850: +SUB [/tf] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,859: +SUB [/tf_static] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,892: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37033/
[rosmaster.master][INFO] 2017-10-04 13:02:02,914: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/', 'http://ubuntu:37033/', 'http://ubuntu:42172/']
[rosmaster.master][INFO] 2017-10-04 13:02:02,915: publisherUpdate[/rosout] -> http://ubuntu:35834/ ['http://ubuntu:41888/', 'http://ubuntu:37033/', 'http://ubuntu:42172/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 13:02:02,915: +PUB [/image/screenpoint] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,916: +PUB [/image/screenpoint_array] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,917: +PUB [/image/screenrectangle] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,918: +PUB [/image/screenrectangle_image] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,920: +PUB [/image/movepoint] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,922: +PUB [/image/foreground] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,924: +PUB [/image/background] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,925: +PUB [/image/foreground_rect] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,927: +PUB [/image/background_rect] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,928: +SUB [/camera/image_raw] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,932: +PUB [/image/line] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,935: +PUB [/image/poly] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:02,994: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,995: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,996: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,997: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:02,999: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,000: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,003: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,004: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,004: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,008: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,018: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:03,020: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:03,021: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:03,022: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42172/
[rosmaster.master][INFO] 2017-10-04 13:02:03,024: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,027: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,029: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,029: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,031: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,033: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-10-04 13:02:03,074: +PUB [/image/compressed] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:03,075: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:03,076: +PUB [/image/compressed/parameter_descriptions] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:03,077: +PUB [/image/compressed/parameter_updates] /mask_orange http://ubuntu:41888/
[rosmaster.master][INFO] 2017-10-04 13:02:03,079: +PARAM [/image/compressed/format] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,081: +PARAM [/image/compressed/jpeg_quality] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 13:02:03,083: +PARAM [/image/compressed/png_level] by /mask_orange
