[rosmaster.main][INFO] 2017-10-04 18:02:41,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 18:02:41,789: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 18:02:41,790: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 18:02:41,790: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 18:02:41,790: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 18:02:41,791: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 18:02:41,848: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:02:41,851: +PARAM [/roslaunch/uris/host_ubuntu__43125] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:02:41,936: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:02:41,936: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:02:41,936: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 18:02:41,962: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43361/
[rosmaster.master][INFO] 2017-10-04 18:02:41,966: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43361/
[rosmaster.master][INFO] 2017-10-04 18:02:41,970: +PUB [/rosout_agg] /rosout http://ubuntu:43361/
[rosmaster.master][INFO] 2017-10-04 18:02:41,999: +SUB [/rosout] /rosout http://ubuntu:43361/
[rosmaster.master][INFO] 2017-10-04 18:02:42,070: +PUB [/rosout] /mask_orange http://ubuntu:39740/
[rosmaster.master][INFO] 2017-10-04 18:02:42,072: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:39740/
[rosmaster.master][INFO] 2017-10-04 18:02:42,074: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:39740/
[rosmaster.master][INFO] 2017-10-04 18:02:42,091: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/']
[rosmaster.master][INFO] 2017-10-04 18:02:42,093: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:02:42,136: +PUB [/rosout] /camera http://ubuntu:35625/
[rosmaster.master][INFO] 2017-10-04 18:02:42,137: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35625/
[rosmaster.master][INFO] 2017-10-04 18:02:42,137: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35625/
[rosmaster.master][INFO] 2017-10-04 18:02:42,139: +PUB [/rosout] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,140: +SERVICE [/view/get_loggers] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,141: +SERVICE [/view/set_logger_level] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,155: +SUB [/tf] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,166: +SUB [/tf_static] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,193: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/', 'http://ubuntu:35625/']
[rosmaster.master][INFO] 2017-10-04 18:02:42,194: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/', 'http://ubuntu:35625/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:02:42,194: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/', 'http://ubuntu:35625/', 'http://ubuntu:38262/']
[rosmaster.master][INFO] 2017-10-04 18:02:42,194: publisherUpdate[/rosout] -> http://ubuntu:43361/ ['http://ubuntu:39740/', 'http://ubuntu:35625/', 'http://ubuntu:38262/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 18:02:42,209: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35625/
[rosmaster.master][INFO] 2017-10-04 18:02:42,220: +SUB [/camera/image_raw] /mask_orange http://ubuntu:39740/
[rosmaster.master][INFO] 2017-10-04 18:02:42,224: +PUB [/image/screenpoint] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,225: +PUB [/image/screenpoint_array] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,226: +PUB [/image/screenrectangle] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,226: +PUB [/image/screenrectangle_image] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,228: +PUB [/image/movepoint] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,229: +PUB [/image/foreground] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,232: +PUB [/image/background] /view http://ubuntu:38262/
[rosmaster.master][INFO] 2017-10-04 18:02:42,232: +PUB [/image/foreground_rect] /view http://ubuntu:38262/
