[rosmaster.main][INFO] 2017-09-13 16:40:15,038: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:40:15,038: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:40:15,039: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:40:15,039: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:40:15,039: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:40:15,042: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:40:15,069: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:40:15,071: +PARAM [/roslaunch/uris/host_ubuntu__34882] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:40:15,210: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:40:15,211: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:40:15,384: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42349/
[rosmaster.master][INFO] 2017-09-13 16:40:15,386: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42349/
[rosmaster.master][INFO] 2017-09-13 16:40:15,392: +PUB [/rosout_agg] /rosout http://ubuntu:42349/
[rosmaster.master][INFO] 2017-09-13 16:40:15,420: +SUB [/rosout] /rosout http://ubuntu:42349/
[rosmaster.master][INFO] 2017-09-13 16:40:15,491: +PUB [/rosout] /image_converter http://ubuntu:43577/
[rosmaster.master][INFO] 2017-09-13 16:40:15,497: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43577/
[rosmaster.master][INFO] 2017-09-13 16:40:15,499: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43577/
[rosmaster.master][INFO] 2017-09-13 16:40:15,540: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/']
[rosmaster.master][INFO] 2017-09-13 16:40:15,541: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:40:15,657: +PUB [/rosout] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,658: +SERVICE [/view/get_loggers] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,660: +SERVICE [/view/set_logger_level] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,683: +SUB [/tf] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,709: +SUB [/tf_static] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,719: +PUB [/rosout] /camera http://ubuntu:43221/
[rosmaster.master][INFO] 2017-09-13 16:40:15,727: +SERVICE [/camera/get_loggers] /camera http://ubuntu:43221/
[rosmaster.master][INFO] 2017-09-13 16:40:15,731: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:43221/
[rosmaster.master][INFO] 2017-09-13 16:40:15,741: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/', 'http://ubuntu:37941/']
[rosmaster.master][INFO] 2017-09-13 16:40:15,744: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/', 'http://ubuntu:37941/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:40:15,744: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/', 'http://ubuntu:37941/', 'http://ubuntu:43221/']
[rosmaster.master][INFO] 2017-09-13 16:40:15,752: publisherUpdate[/rosout] -> http://ubuntu:42349/ ['http://ubuntu:43577/', 'http://ubuntu:37941/', 'http://ubuntu:43221/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:40:15,811: +PUB [/image/screenpoint] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,814: +PUB [/image/screenpoint_array] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,815: +PUB [/image/screenrectangle] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,815: +PUB [/image/screenrectangle_image] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,816: +PUB [/image/movepoint] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,817: +PUB [/image/foreground] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,817: +PUB [/image/background] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,818: +PUB [/image/foreground_rect] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,820: +PUB [/image/background_rect] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,826: +PUB [/image/line] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,830: +PUB [/image/poly] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,838: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:43221/
[rosmaster.master][INFO] 2017-09-13 16:40:15,906: +SUB [/camera/image_raw] /image_converter http://ubuntu:43577/
[rosmaster.master][INFO] 2017-09-13 16:40:15,976: +PUB [/image_marked/compressedDepth] /view http://ubuntu:37941/
[rosmaster.master][INFO] 2017-09-13 16:40:15,977: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:37941/
