[rosmaster.main][INFO] 2017-09-26 18:48:03,222: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 18:48:03,222: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 18:48:03,223: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 18:48:03,223: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 18:48:03,224: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 18:48:03,224: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 18:48:03,267: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:48:03,268: +PARAM [/roslaunch/uris/host_ubuntu__45083] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:48:03,331: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:48:03,332: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:48:03,332: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 18:48:03,355: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35180/
[rosmaster.master][INFO] 2017-09-26 18:48:03,356: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35180/
[rosmaster.master][INFO] 2017-09-26 18:48:03,358: +PUB [/rosout_agg] /rosout http://ubuntu:35180/
[rosmaster.master][INFO] 2017-09-26 18:48:03,366: +SUB [/rosout] /rosout http://ubuntu:35180/
[rosmaster.master][INFO] 2017-09-26 18:48:03,484: +PUB [/rosout] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,487: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,488: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,523: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/']
[rosmaster.master][INFO] 2017-09-26 18:48:03,525: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:48:03,543: +PUB [/rosout] /camera http://ubuntu:45088/
[rosmaster.master][INFO] 2017-09-26 18:48:03,544: +SERVICE [/camera/get_loggers] /camera http://ubuntu:45088/
[rosmaster.master][INFO] 2017-09-26 18:48:03,547: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:45088/
[rosmaster.master][INFO] 2017-09-26 18:48:03,568: +PUB [/rosout] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,569: +SERVICE [/view/get_loggers] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,570: +SERVICE [/view/set_logger_level] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,582: +SUB [/tf] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,591: +SUB [/tf_static] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,625: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/', 'http://ubuntu:45088/']
[rosmaster.master][INFO] 2017-09-26 18:48:03,625: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/', 'http://ubuntu:45088/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:48:03,626: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/', 'http://ubuntu:45088/', 'http://ubuntu:37476/']
[rosmaster.master][INFO] 2017-09-26 18:48:03,626: publisherUpdate[/rosout] -> http://ubuntu:35180/ ['http://ubuntu:45588/', 'http://ubuntu:45088/', 'http://ubuntu:37476/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 18:48:03,651: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:45088/
[rosmaster.master][INFO] 2017-09-26 18:48:03,675: +PUB [/image/screenpoint] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,676: +PUB [/image/screenpoint_array] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,677: +PUB [/image/screenrectangle] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,678: +PUB [/image/screenrectangle_image] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,679: +PUB [/image/movepoint] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,679: +PUB [/image/foreground] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,680: +PUB [/image/background] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,681: +PUB [/image/foreground_rect] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,681: +PUB [/image/background_rect] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,683: +PUB [/image/line] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,685: +PUB [/image/poly] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,728: +SUB [/camera/image_raw] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,801: +PUB [/image_marked/compressedDepth] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,802: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,803: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,804: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,808: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,813: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,814: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,815: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,818: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,819: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,820: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,821: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,823: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:45588/
[rosmaster.master][INFO] 2017-09-26 18:48:03,824: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 18:48:03,842: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,844: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,847: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,848: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,849: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,851: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 18:48:03,947: +PUB [/image_marked/compressed] /view http://ubuntu:37476/
[rosmaster.master][INFO] 2017-09-26 18:48:03,950: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:37476/
