[rosmaster.main][INFO] 2017-10-05 17:11:33,209: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-05 17:11:33,210: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-05 17:11:33,210: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-05 17:11:33,210: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-05 17:11:33,211: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-05 17:11:33,211: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-05 17:11:33,234: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:11:33,235: +PARAM [/roslaunch/uris/host_ubuntu__41948] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:11:33,312: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:11:33,312: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:11:33,312: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-05 17:11:33,325: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36925/
[rosmaster.master][INFO] 2017-10-05 17:11:33,328: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36925/
[rosmaster.master][INFO] 2017-10-05 17:11:33,341: +PUB [/rosout_agg] /rosout http://ubuntu:36925/
[rosmaster.master][INFO] 2017-10-05 17:11:33,363: +SUB [/rosout] /rosout http://ubuntu:36925/
[rosmaster.master][INFO] 2017-10-05 17:11:33,437: +PUB [/rosout] /mask_orange http://ubuntu:38420/
[rosmaster.master][INFO] 2017-10-05 17:11:33,437: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:38420/
[rosmaster.master][INFO] 2017-10-05 17:11:33,439: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:38420/
[rosmaster.master][INFO] 2017-10-05 17:11:33,473: +PUB [/rosout] /camera http://ubuntu:42296/
[rosmaster.master][INFO] 2017-10-05 17:11:33,474: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42296/
[rosmaster.master][INFO] 2017-10-05 17:11:33,474: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42296/
[rosmaster.master][INFO] 2017-10-05 17:11:33,497: +PUB [/rosout] /view http://ubuntu:42257/
[rosmaster.master][INFO] 2017-10-05 17:11:33,498: +SERVICE [/view/get_loggers] /view http://ubuntu:42257/
