[rosmaster.main][INFO] 2017-09-13 16:26:04,847: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:26:04,847: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:26:04,848: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-13 16:26:04,848: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:26:04,848: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:26:04,848: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-13 16:26:04,867: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:26:04,868: +PARAM [/roslaunch/uris/host_ubuntu__41235] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:26:04,930: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:26:04,930: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:26:05,128: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43415/
[rosmaster.master][INFO] 2017-09-13 16:26:05,128: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43415/
[rosmaster.master][INFO] 2017-09-13 16:26:05,130: +PUB [/rosout_agg] /rosout http://ubuntu:43415/
[rosmaster.master][INFO] 2017-09-13 16:26:05,147: +SUB [/rosout] /rosout http://ubuntu:43415/
[rosmaster.master][INFO] 2017-09-13 16:26:05,223: +PUB [/rosout] /image_converter http://ubuntu:43177/
[rosmaster.master][INFO] 2017-09-13 16:26:05,226: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:43177/
[rosmaster.master][INFO] 2017-09-13 16:26:05,227: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:43177/
[rosmaster.master][INFO] 2017-09-13 16:26:05,250: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/']
[rosmaster.master][INFO] 2017-09-13 16:26:05,251: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:26:05,341: +PUB [/rosout] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,344: +SERVICE [/view/get_loggers] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,345: +SERVICE [/view/set_logger_level] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,351: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/']
[rosmaster.master][INFO] 2017-09-13 16:26:05,358: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:26:05,376: +SUB [/tf] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,396: +SUB [/tf_static] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,418: +PUB [/rosout] /camera http://ubuntu:40196/
[rosmaster.master][INFO] 2017-09-13 16:26:05,419: +SERVICE [/camera/get_loggers] /camera http://ubuntu:40196/
[rosmaster.master][INFO] 2017-09-13 16:26:05,420: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:40196/
[rosmaster.master][INFO] 2017-09-13 16:26:05,458: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/', 'http://ubuntu:40196/']
[rosmaster.master][INFO] 2017-09-13 16:26:05,459: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/', 'http://ubuntu:40196/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:26:05,475: +PUB [/image/screenpoint] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,476: +PUB [/image/screenpoint_array] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,477: +PUB [/image/screenrectangle] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,479: +PUB [/image/screenrectangle_image] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,481: +PUB [/image/movepoint] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,483: +PUB [/image/foreground] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,486: +PUB [/image/background] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,493: +PUB [/image/foreground_rect] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,497: +PUB [/image/background_rect] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,498: +PUB [/image/line] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,499: +PUB [/image/poly] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,534: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:40196/
[rosmaster.master][INFO] 2017-09-13 16:26:05,549: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:38843
[rosmaster.master][INFO] 2017-09-13 16:26:05,683: -PUB [/rosout] /camera http://ubuntu:40196/
[rosmaster.master][INFO] 2017-09-13 16:26:05,684: -SERVICE [/camera/get_loggers] /camera rosrpc://ubuntu:38843
[rosmaster.master][INFO] 2017-09-13 16:26:05,685: -SERVICE [/camera/set_logger_level] /camera rosrpc://ubuntu:38843
[rosmaster.master][INFO] 2017-09-13 16:26:05,732: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,735: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,738: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,739: +SUB [/camera/image_raw] /image_converter http://ubuntu:43177/
[rosmaster.master][INFO] 2017-09-13 16:26:05,741: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:45667/
[rosmaster.master][INFO] 2017-09-13 16:26:05,751: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,752: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,756: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,757: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,758: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,758: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-13 16:26:05,764: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/']
[rosmaster.master][INFO] 2017-09-13 16:26:05,764: publisherUpdate[/rosout] -> http://ubuntu:43415/ ['http://ubuntu:43177/', 'http://ubuntu:45667/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-13 16:26:05,801: +PUB [/image/compressedDepth] /image_converter http://ubuntu:43177/
[rosmaster.master][INFO] 2017-09-13 16:26:05,802: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:43177/
