[rosmaster.main][INFO] 2017-09-27 17:35:25,388: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-27 17:35:25,388: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-27 17:35:25,388: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-27 17:35:25,389: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-27 17:35:25,389: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-27 17:35:25,389: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-27 17:35:25,435: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:35:25,436: +PARAM [/roslaunch/uris/host_ubuntu__33982] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:35:25,510: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:35:25,510: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:35:25,510: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-27 17:35:25,553: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36644/
[rosmaster.master][INFO] 2017-09-27 17:35:25,559: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36644/
[rosmaster.master][INFO] 2017-09-27 17:35:25,563: +PUB [/rosout_agg] /rosout http://ubuntu:36644/
[rosmaster.master][INFO] 2017-09-27 17:35:25,599: +SUB [/rosout] /rosout http://ubuntu:36644/
[rosmaster.master][INFO] 2017-09-27 17:35:25,747: +PUB [/rosout] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:25,751: +SERVICE [/mask/get_loggers] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:25,752: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:25,784: +PUB [/rosout] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,785: +SERVICE [/view/get_loggers] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,786: +SERVICE [/view/set_logger_level] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,794: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/']
[rosmaster.master][INFO] 2017-09-27 17:35:25,799: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:35:25,799: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/', 'http://ubuntu:44659/']
[rosmaster.master][INFO] 2017-09-27 17:35:25,801: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/', 'http://ubuntu:44659/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:35:25,819: +SUB [/tf] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,822: +PUB [/rosout] /camera http://ubuntu:37451/
[rosmaster.master][INFO] 2017-09-27 17:35:25,828: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37451/
[rosmaster.master][INFO] 2017-09-27 17:35:25,832: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37451/
[rosmaster.master][INFO] 2017-09-27 17:35:25,844: +SUB [/tf_static] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,896: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/', 'http://ubuntu:44659/', 'http://ubuntu:37451/']
[rosmaster.master][INFO] 2017-09-27 17:35:25,897: publisherUpdate[/rosout] -> http://ubuntu:36644/ ['http://ubuntu:36785/', 'http://ubuntu:44659/', 'http://ubuntu:37451/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-27 17:35:25,925: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37451/
[rosmaster.master][INFO] 2017-09-27 17:35:25,932: +PUB [/image/screenpoint] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,935: -SERVICE [/camera/set_camera_info] /camera rosrpc://ubuntu:50501
[rosmaster.master][INFO] 2017-09-27 17:35:25,936: +PUB [/image/screenpoint_array] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,936: +PUB [/image/screenrectangle] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,941: +PUB [/image/screenrectangle_image] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,944: +PUB [/image/movepoint] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,952: +PUB [/image/foreground] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,960: +PUB [/image/background] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,967: +PUB [/image/foreground_rect] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,971: +PUB [/image/background_rect] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,979: +PUB [/image/line] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:25,980: +SUB [/camera/image_raw] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:25,984: +PUB [/image/poly] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:26,068: +PUB [/image/compressedDepth] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:26,068: +SERVICE [/image/compressedDepth/set_parameters] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:26,069: +PUB [/image/compressedDepth/parameter_descriptions] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:26,070: +PUB [/image/compressedDepth/parameter_updates] /mask http://ubuntu:36785/
[rosmaster.master][INFO] 2017-09-27 17:35:26,076: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,077: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,079: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,083: +PUB [/image_marked/compressedDepth] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:26,084: +PARAM [/image/compressedDepth/depth_max] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,087: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:26,088: +PARAM [/image/compressedDepth/depth_quantization] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,089: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:26,090: +PARAM [/image/compressedDepth/png_level] by /mask
[rosmaster.master][INFO] 2017-09-27 17:35:26,095: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:44659/
[rosmaster.master][INFO] 2017-09-27 17:35:26,102: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:35:26,106: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-27 17:35:26,107: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-27 17:35:26,109: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-27 17:35:26,112: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
