[rosmaster.main][INFO] 2017-10-04 16:37:00,675: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-04 16:37:00,676: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-04 16:37:00,676: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-04 16:37:00,676: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-04 16:37:00,677: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-04 16:37:00,677: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-04 16:37:00,732: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:37:00,733: +PARAM [/roslaunch/uris/host_ubuntu__41505] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:37:00,805: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:37:00,805: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:37:00,805: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-04 16:37:00,815: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38042/
[rosmaster.master][INFO] 2017-10-04 16:37:00,816: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38042/
[rosmaster.master][INFO] 2017-10-04 16:37:00,817: +PUB [/rosout_agg] /rosout http://ubuntu:38042/
[rosmaster.master][INFO] 2017-10-04 16:37:00,820: +SUB [/rosout] /rosout http://ubuntu:38042/
[rosmaster.master][INFO] 2017-10-04 16:37:00,890: +PUB [/rosout] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:00,894: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:00,901: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:00,948: +PUB [/rosout] /camera http://ubuntu:39120/
[rosmaster.master][INFO] 2017-10-04 16:37:00,948: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39120/
[rosmaster.master][INFO] 2017-10-04 16:37:00,949: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39120/
[rosmaster.master][INFO] 2017-10-04 16:37:00,958: +PUB [/rosout] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:00,959: +SERVICE [/view/get_loggers] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:00,961: +SERVICE [/view/set_logger_level] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:00,967: +SUB [/tf] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:00,981: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/']
[rosmaster.master][INFO] 2017-10-04 16:37:00,982: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 16:37:00,982: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/', 'http://ubuntu:39120/']
[rosmaster.master][INFO] 2017-10-04 16:37:00,983: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/', 'http://ubuntu:39120/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 16:37:00,983: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/', 'http://ubuntu:39120/', 'http://ubuntu:40553/']
[rosmaster.master][INFO] 2017-10-04 16:37:00,985: publisherUpdate[/rosout] -> http://ubuntu:38042/ ['http://ubuntu:45623/', 'http://ubuntu:39120/', 'http://ubuntu:40553/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-04 16:37:00,986: +SUB [/tf_static] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,021: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:39120/
[rosmaster.master][INFO] 2017-10-04 16:37:01,040: +PUB [/image/screenpoint] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,042: +PUB [/image/screenpoint_array] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,043: +PUB [/image/screenrectangle] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,044: +PUB [/image/screenrectangle_image] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,044: +PUB [/image/movepoint] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,045: +PUB [/image/foreground] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,046: +PUB [/image/background] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,049: +PUB [/image/foreground_rect] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,049: +PUB [/image/background_rect] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,050: +PUB [/image/line] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,051: +PUB [/image/poly] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,057: +SUB [/camera/image_raw] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:01,116: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:01,117: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:01,118: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:01,119: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:45623/
[rosmaster.master][INFO] 2017-10-04 16:37:01,122: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,124: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,126: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,127: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,128: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,130: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-04 16:37:01,136: +PUB [/image_marked/compressedDepth] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,137: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,138: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,140: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:40553/
[rosmaster.master][INFO] 2017-10-04 16:37:01,145: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-10-04 16:37:01,146: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
