[rosmaster.main][INFO] 2017-09-23 17:04:22,976: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 17:04:22,976: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 17:04:22,977: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-23 17:04:22,977: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 17:04:22,977: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 17:04:22,977: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 17:04:22,988: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:04:22,989: +PARAM [/roslaunch/uris/host_ubuntu__46343] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:04:23,079: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:04:23,079: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:04:23,079: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 17:04:23,120: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42767/
[rosmaster.master][INFO] 2017-09-23 17:04:23,122: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42767/
[rosmaster.master][INFO] 2017-09-23 17:04:23,136: +PUB [/rosout_agg] /rosout http://ubuntu:42767/
[rosmaster.master][INFO] 2017-09-23 17:04:23,177: +SUB [/rosout] /rosout http://ubuntu:42767/
[rosmaster.master][INFO] 2017-09-23 17:04:23,264: +PUB [/rosout] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,266: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,269: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,283: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/']
[rosmaster.master][INFO] 2017-09-23 17:04:23,289: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 17:04:23,369: +PUB [/rosout] /camera http://ubuntu:35746/
[rosmaster.master][INFO] 2017-09-23 17:04:23,370: +SERVICE [/camera/get_loggers] /camera http://ubuntu:35746/
[rosmaster.master][INFO] 2017-09-23 17:04:23,371: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:35746/
[rosmaster.master][INFO] 2017-09-23 17:04:23,389: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/', 'http://ubuntu:35746/']
[rosmaster.master][INFO] 2017-09-23 17:04:23,390: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/', 'http://ubuntu:35746/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 17:04:23,391: +PUB [/rosout] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,392: +SERVICE [/view/get_loggers] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,396: +SERVICE [/view/set_logger_level] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,413: +SUB [/tf] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,416: +SUB [/tf_static] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,449: +SUB [/camera/image_raw] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,454: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:35746/
[rosmaster.master][INFO] 2017-09-23 17:04:23,480: +PUB [/image/screenpoint] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,481: +PUB [/image/screenpoint_array] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,481: +PUB [/image/screenrectangle] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,482: +PUB [/image/screenrectangle_image] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,483: +PUB [/image/movepoint] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,483: +PUB [/image/foreground] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,484: +PUB [/image/background] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,485: +PUB [/image/foreground_rect] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,488: +PUB [/image/background_rect] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,491: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/', 'http://ubuntu:35746/', 'http://ubuntu:45805/']
[rosmaster.master][INFO] 2017-09-23 17:04:23,494: publisherUpdate[/rosout] -> http://ubuntu:42767/ ['http://ubuntu:33513/', 'http://ubuntu:35746/', 'http://ubuntu:45805/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 17:04:23,495: +PUB [/image/line] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,498: +PUB [/image/poly] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,536: +PUB [/image/compressedDepth] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,537: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,538: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,539: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:33513/
[rosmaster.master][INFO] 2017-09-23 17:04:23,550: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,550: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,551: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,552: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,553: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,554: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 17:04:23,585: +PUB [/image_marked/compressedDepth] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,586: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:45805/
[rosmaster.master][INFO] 2017-09-23 17:04:23,587: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:45805/
