[rosmaster.main][INFO] 2017-09-20 18:12:22,798: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 18:12:22,799: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 18:12:22,799: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 18:12:22,800: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 18:12:22,800: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 18:12:22,800: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 18:12:22,863: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:12:22,864: +PARAM [/roslaunch/uris/host_ubuntu__33574] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:12:22,940: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:12:22,941: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:12:22,941: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 18:12:22,979: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42340/
[rosmaster.master][INFO] 2017-09-20 18:12:22,983: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42340/
[rosmaster.master][INFO] 2017-09-20 18:12:22,991: +PUB [/rosout_agg] /rosout http://ubuntu:42340/
[rosmaster.master][INFO] 2017-09-20 18:12:23,025: +SUB [/rosout] /rosout http://ubuntu:42340/
[rosmaster.master][INFO] 2017-09-20 18:12:23,121: +PUB [/rosout] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,122: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,125: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,206: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/']
[rosmaster.master][INFO] 2017-09-20 18:12:23,208: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:12:23,209: +PUB [/rosout] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,214: +SERVICE [/view/get_loggers] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,215: +PUB [/rosout] /camera http://ubuntu:46407/
[rosmaster.master][INFO] 2017-09-20 18:12:23,215: +SERVICE [/view/set_logger_level] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,216: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46407/
[rosmaster.master][INFO] 2017-09-20 18:12:23,221: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46407/
[rosmaster.master][INFO] 2017-09-20 18:12:23,237: +SUB [/tf] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,243: +SUB [/tf_static] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,273: +SUB [/camera/image_raw] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,293: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46407/
[rosmaster.master][INFO] 2017-09-20 18:12:23,303: +PUB [/image/screenpoint] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,304: +PUB [/image/screenpoint_array] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,305: +PUB [/image/screenrectangle] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,305: +PUB [/image/screenrectangle_image] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,306: +PUB [/image/movepoint] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,307: +PUB [/image/foreground] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,308: +PUB [/image/background] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,308: +PUB [/image/foreground_rect] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,309: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/', 'http://ubuntu:42488/']
[rosmaster.master][INFO] 2017-09-20 18:12:23,313: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/', 'http://ubuntu:42488/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:12:23,313: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/', 'http://ubuntu:42488/', 'http://ubuntu:46407/']
[rosmaster.master][INFO] 2017-09-20 18:12:23,314: publisherUpdate[/rosout] -> http://ubuntu:42340/ ['http://ubuntu:41308/', 'http://ubuntu:42488/', 'http://ubuntu:46407/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 18:12:23,314: +PUB [/image/background_rect] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,315: +PUB [/image/line] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,316: +PUB [/image/poly] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,347: +PUB [/image/compressedDepth] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,348: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,349: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,350: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,354: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,355: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,356: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,359: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,360: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,361: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,387: +PUB [/image_marked/compressedDepth] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,388: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,389: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,389: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:42488/
[rosmaster.master][INFO] 2017-09-20 18:12:23,391: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,393: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,394: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,395: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,397: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,398: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-20 18:12:23,426: +PUB [/image/compressed] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,427: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,428: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,429: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:41308/
[rosmaster.master][INFO] 2017-09-20 18:12:23,433: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,434: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,435: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-20 18:12:23,438: +PARAM [/image/compressed/format] by /image_converter
