[rosmaster.main][INFO] 2017-09-20 17:07:58,454: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-20 17:07:58,454: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-20 17:07:58,455: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-20 17:07:58,455: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-20 17:07:58,455: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-20 17:07:58,455: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-20 17:07:58,518: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:07:58,520: +PARAM [/roslaunch/uris/host_ubuntu__34615] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:07:58,598: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:07:58,598: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:07:58,598: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-20 17:07:58,661: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41485/
[rosmaster.master][INFO] 2017-09-20 17:07:58,664: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41485/
[rosmaster.master][INFO] 2017-09-20 17:07:58,679: +PUB [/rosout_agg] /rosout http://ubuntu:41485/
[rosmaster.master][INFO] 2017-09-20 17:07:58,714: +SUB [/rosout] /rosout http://ubuntu:41485/
[rosmaster.master][INFO] 2017-09-20 17:07:58,809: +PUB [/rosout] /image_converter http://ubuntu:35668/
[rosmaster.master][INFO] 2017-09-20 17:07:58,810: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:35668/
[rosmaster.master][INFO] 2017-09-20 17:07:58,811: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:35668/
[rosmaster.master][INFO] 2017-09-20 17:07:58,856: publisherUpdate[/rosout] -> http://ubuntu:41485/ ['http://ubuntu:35668/']
[rosmaster.master][INFO] 2017-09-20 17:07:58,858: publisherUpdate[/rosout] -> http://ubuntu:41485/ ['http://ubuntu:35668/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-20 17:07:58,889: +PUB [/rosout] /camera http://ubuntu:39803/
[rosmaster.master][INFO] 2017-09-20 17:07:58,890: +PUB [/rosout] /view http://ubuntu:39634/
[rosmaster.master][INFO] 2017-09-20 17:07:58,891: +SERVICE [/camera/get_loggers] /camera http://ubuntu:39803/
[rosmaster.master][INFO] 2017-09-20 17:07:58,893: +SERVICE [/view/get_loggers] /view http://ubuntu:39634/
[rosmaster.master][INFO] 2017-09-20 17:07:58,893: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:39803/
