[rosmaster.main][INFO] 2017-09-22 14:49:37,144: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-22 14:49:37,144: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-22 14:49:37,145: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-22 14:49:37,145: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-22 14:49:37,145: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-22 14:49:37,145: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-22 14:49:37,207: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:49:37,208: +PARAM [/roslaunch/uris/host_ubuntu__41111] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:49:37,268: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:49:37,268: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:49:37,268: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-22 14:49:37,280: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40517/
[rosmaster.master][INFO] 2017-09-22 14:49:37,280: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40517/
[rosmaster.master][INFO] 2017-09-22 14:49:37,282: +PUB [/rosout_agg] /rosout http://ubuntu:40517/
[rosmaster.master][INFO] 2017-09-22 14:49:37,306: +SUB [/rosout] /rosout http://ubuntu:40517/
[rosmaster.master][INFO] 2017-09-22 14:49:37,375: +PUB [/rosout] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,379: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,381: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,421: +PUB [/rosout] /camera http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-22 14:49:37,422: +SERVICE [/camera/get_loggers] /camera http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-22 14:49:37,423: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-22 14:49:37,424: +PUB [/rosout] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,425: +SERVICE [/view/get_loggers] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,426: +SERVICE [/view/set_logger_level] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,444: +SUB [/tf] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,446: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/']
[rosmaster.master][INFO] 2017-09-22 14:49:37,454: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 14:49:37,454: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/', 'http://ubuntu:37889/']
[rosmaster.master][INFO] 2017-09-22 14:49:37,455: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/', 'http://ubuntu:37889/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 14:49:37,455: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/', 'http://ubuntu:37889/', 'http://ubuntu:40095/']
[rosmaster.master][INFO] 2017-09-22 14:49:37,455: publisherUpdate[/rosout] -> http://ubuntu:40517/ ['http://ubuntu:44418/', 'http://ubuntu:37889/', 'http://ubuntu:40095/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-22 14:49:37,458: +SUB [/tf_static] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,492: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:37889/
[rosmaster.master][INFO] 2017-09-22 14:49:37,507: +SUB [/camera/image_raw] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,514: +PUB [/image/screenpoint] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,515: +PUB [/image/screenpoint_array] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,516: +PUB [/image/screenrectangle] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,516: +PUB [/image/screenrectangle_image] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,517: +PUB [/image/movepoint] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,518: +PUB [/image/foreground] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,518: +PUB [/image/background] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,519: +PUB [/image/foreground_rect] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,520: +PUB [/image/background_rect] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,521: +PUB [/image/line] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,524: +PUB [/image/poly] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,574: +PUB [/image/compressedDepth] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,575: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,576: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,577: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:44418/
[rosmaster.master][INFO] 2017-09-22 14:49:37,579: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,580: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,580: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,581: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,583: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,586: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-22 14:49:37,599: +PUB [/image_marked/compressedDepth] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,600: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:40095/
[rosmaster.master][INFO] 2017-09-22 14:49:37,601: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:40095/
