[rosmaster.main][INFO] 2017-09-21 18:04:10,983: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 18:04:10,983: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 18:04:10,983: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 18:04:10,984: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 18:04:10,984: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 18:04:10,984: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 18:04:11,042: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:11,044: +PARAM [/roslaunch/uris/host_ubuntu__39701] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:11,121: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:11,121: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:11,122: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 18:04:11,143: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34047/
[rosmaster.master][INFO] 2017-09-21 18:04:11,155: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34047/
[rosmaster.master][INFO] 2017-09-21 18:04:11,157: +PUB [/rosout_agg] /rosout http://ubuntu:34047/
[rosmaster.master][INFO] 2017-09-21 18:04:11,171: +SUB [/rosout] /rosout http://ubuntu:34047/
[rosmaster.master][INFO] 2017-09-21 18:04:11,286: +PUB [/rosout] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,287: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/']
[rosmaster.master][INFO] 2017-09-21 18:04:11,288: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:11,289: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,290: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,316: +PUB [/rosout] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,317: +SERVICE [/view/get_loggers] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,317: +SERVICE [/view/set_logger_level] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,324: +SUB [/tf] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,335: +PUB [/rosout] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,341: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,344: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,348: +SUB [/tf_static] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,388: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/', 'http://ubuntu:33070/']
[rosmaster.master][INFO] 2017-09-21 18:04:11,389: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/', 'http://ubuntu:33070/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:11,389: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/', 'http://ubuntu:33070/', 'http://ubuntu:42765/']
[rosmaster.master][INFO] 2017-09-21 18:04:11,390: publisherUpdate[/rosout] -> http://ubuntu:34047/ ['http://ubuntu:37936/', 'http://ubuntu:33070/', 'http://ubuntu:42765/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 18:04:11,415: +PUB [/image/screenpoint] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,416: +PUB [/image/screenpoint_array] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,417: +PUB [/image/screenrectangle] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,417: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,418: +PUB [/image/screenrectangle_image] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,419: +PUB [/image/movepoint] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,420: +PUB [/image/foreground] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,423: +PUB [/image/background] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,426: +PUB [/image/foreground_rect] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,427: +PUB [/image/background_rect] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,428: +PUB [/image/line] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,429: +PUB [/image/poly] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,448: +SUB [/camera/image_raw] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,497: +PUB [/image_marked/compressedDepth] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,498: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,499: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,500: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,502: +PUB [/image/compressedDepth] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,504: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,504: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,505: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,506: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,507: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,507: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,509: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,510: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,511: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,516: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,517: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,518: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,522: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,523: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,524: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,570: +PUB [/image_marked/compressed] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,571: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,571: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,572: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,574: +PUB [/image/compressed] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,576: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,577: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,578: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,579: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,579: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,580: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,582: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,583: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,583: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,584: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 18:04:11,590: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,591: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,592: +PARAM [/image/compressed/format] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,593: +PARAM [/image/compressed/jpeg_quality] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,595: +PARAM [/image/compressed/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 18:04:11,645: +PUB [/image_marked] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,652: +PUB [/image] /image_converter http://ubuntu:37936/
[rosmaster.master][INFO] 2017-09-21 18:04:11,718: +PUB [/camera/image_raw/compressedDepth] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,720: +SERVICE [/camera/image_raw/compressedDepth/set_parameters] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,720: +PUB [/camera/image_raw/compressedDepth/parameter_descriptions] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,721: +PUB [/camera/image_raw/compressedDepth/parameter_updates] /camera http://ubuntu:42765/
[rosmaster.master][INFO] 2017-09-21 18:04:11,723: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-21 18:04:11,725: +PARAM [/camera/image_raw/compressedDepth/depth_quantization] by /camera
[rosmaster.master][INFO] 2017-09-21 18:04:11,726: +PARAM [/camera/image_raw/compressedDepth/png_level] by /camera
[rosmaster.master][INFO] 2017-09-21 18:04:11,729: +PARAM [/camera/image_raw/compressedDepth/depth_max] by /camera
[rosmaster.master][INFO] 2017-09-21 18:04:11,731: +PUB [/image_marked/theora] /view http://ubuntu:33070/
[rosmaster.master][INFO] 2017-09-21 18:04:11,732: +PUB [/image/theora] /image_converter http://ubuntu:37936/
