[rosmaster.main][INFO] 2017-09-23 15:10:01,779: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-23 15:10:01,779: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-23 15:10:01,782: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-23 15:10:01,782: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-23 15:10:01,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-23 15:10:01,782: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-23 15:10:01,834: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:10:01,835: +PARAM [/roslaunch/uris/host_ubuntu__35223] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:10:01,915: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:10:01,915: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:10:01,915: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-23 15:10:01,925: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39552/
[rosmaster.master][INFO] 2017-09-23 15:10:01,928: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39552/
[rosmaster.master][INFO] 2017-09-23 15:10:01,943: +PUB [/rosout_agg] /rosout http://ubuntu:39552/
[rosmaster.master][INFO] 2017-09-23 15:10:01,964: +SUB [/rosout] /rosout http://ubuntu:39552/
[rosmaster.master][INFO] 2017-09-23 15:10:02,053: +PUB [/rosout] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,057: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,058: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,070: +PUB [/rosout] /camera http://ubuntu:42191/
[rosmaster.master][INFO] 2017-09-23 15:10:02,071: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42191/
[rosmaster.master][INFO] 2017-09-23 15:10:02,072: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42191/
[rosmaster.master][INFO] 2017-09-23 15:10:02,080: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/']
[rosmaster.master][INFO] 2017-09-23 15:10:02,084: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:10:02,084: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/', 'http://ubuntu:42191/']
[rosmaster.master][INFO] 2017-09-23 15:10:02,084: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/', 'http://ubuntu:42191/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:10:02,098: +PUB [/rosout] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,099: +SERVICE [/view/get_loggers] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,101: +SERVICE [/view/set_logger_level] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,109: +SUB [/tf] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,114: +SUB [/tf_static] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,129: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:42191/
[rosmaster.master][INFO] 2017-09-23 15:10:02,165: +PUB [/image/screenpoint] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,166: +PUB [/image/screenpoint_array] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,166: +PUB [/image/screenrectangle] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,167: +PUB [/image/screenrectangle_image] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,168: +PUB [/image/movepoint] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,168: +PUB [/image/foreground] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,169: +PUB [/image/background] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,170: +PUB [/image/foreground_rect] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,170: +PUB [/image/background_rect] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,171: +PUB [/image/line] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,172: +PUB [/image/poly] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,184: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/', 'http://ubuntu:42191/', 'http://ubuntu:37318/']
[rosmaster.master][INFO] 2017-09-23 15:10:02,185: publisherUpdate[/rosout] -> http://ubuntu:39552/ ['http://ubuntu:37021/', 'http://ubuntu:42191/', 'http://ubuntu:37318/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-23 15:10:02,192: +SUB [/camera/image_raw] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,245: +PUB [/image_marked/compressedDepth] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,246: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,247: +PUB [/image/compressedDepth] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,248: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,249: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,249: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,250: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,251: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,254: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,256: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,256: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,257: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,258: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,259: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,259: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,260: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,261: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,261: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-23 15:10:02,266: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,267: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-23 15:10:02,320: +PUB [/image_marked/compressed] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,321: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,322: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,323: +PUB [/image/compressed] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,323: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:37318/
[rosmaster.master][INFO] 2017-09-23 15:10:02,324: +SERVICE [/image/compressed/set_parameters] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,326: +PUB [/image/compressed/parameter_descriptions] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,327: +PUB [/image/compressed/parameter_updates] /image_converter http://ubuntu:37021/
[rosmaster.master][INFO] 2017-09-23 15:10:02,328: +PARAM [/image_marked/compressed/format] by /view
