[rosmaster.main][INFO] 2017-10-03 18:40:09,085: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-03 18:40:09,086: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-03 18:40:09,086: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-03 18:40:09,087: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-10-03 18:40:09,087: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-10-03 18:40:09,087: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-03 18:40:09,130: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:40:09,132: +PARAM [/roslaunch/uris/host_ubuntu__42862] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:40:09,199: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:40:09,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:40:09,200: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-03 18:40:09,220: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:46114/
[rosmaster.master][INFO] 2017-10-03 18:40:09,223: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:46114/
[rosmaster.master][INFO] 2017-10-03 18:40:09,227: +PUB [/rosout_agg] /rosout http://ubuntu:46114/
[rosmaster.master][INFO] 2017-10-03 18:40:09,230: +SUB [/rosout] /rosout http://ubuntu:46114/
[rosmaster.master][INFO] 2017-10-03 18:40:09,308: +PUB [/rosout] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,310: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,312: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,359: +PUB [/rosout] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,361: +SERVICE [/view/get_loggers] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,361: +SERVICE [/view/set_logger_level] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,364: +PUB [/rosout] /camera http://ubuntu:33848/
[rosmaster.master][INFO] 2017-10-03 18:40:09,364: +SERVICE [/camera/get_loggers] /camera http://ubuntu:33848/
[rosmaster.master][INFO] 2017-10-03 18:40:09,367: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:33848/
[rosmaster.master][INFO] 2017-10-03 18:40:09,374: +SUB [/tf] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,388: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/']
[rosmaster.master][INFO] 2017-10-03 18:40:09,390: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:40:09,390: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/', 'http://ubuntu:38364/']
[rosmaster.master][INFO] 2017-10-03 18:40:09,390: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/', 'http://ubuntu:38364/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:40:09,390: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/', 'http://ubuntu:38364/', 'http://ubuntu:33848/']
[rosmaster.master][INFO] 2017-10-03 18:40:09,391: publisherUpdate[/rosout] -> http://ubuntu:46114/ ['http://ubuntu:45760/', 'http://ubuntu:38364/', 'http://ubuntu:33848/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-03 18:40:09,400: +SUB [/tf_static] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,442: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:33848/
[rosmaster.master][INFO] 2017-10-03 18:40:09,452: +SUB [/camera/image_raw] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,455: +PUB [/image/screenpoint] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,456: +PUB [/image/screenpoint_array] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,456: +PUB [/image/screenrectangle] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,457: +PUB [/image/screenrectangle_image] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,459: +PUB [/image/movepoint] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,460: +PUB [/image/foreground] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,463: +PUB [/image/background] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,464: +PUB [/image/foreground_rect] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,464: +PUB [/image/background_rect] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,465: +PUB [/image/line] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,466: +PUB [/image/poly] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,519: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,520: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,520: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,521: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:45760/
[rosmaster.master][INFO] 2017-10-03 18:40:09,523: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,524: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,525: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,526: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,527: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,529: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-10-03 18:40:09,544: +PUB [/image_marked/compressedDepth] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,545: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:38364/
[rosmaster.master][INFO] 2017-10-03 18:40:09,546: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:38364/
