[rosmaster.main][INFO] 2017-09-28 16:37:17,842: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-28 16:37:17,842: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-28 16:37:17,843: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-28 16:37:17,843: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-28 16:37:17,843: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-28 16:37:17,843: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-28 16:37:17,903: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:37:17,905: +PARAM [/roslaunch/uris/host_ubuntu__43854] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:37:17,984: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:37:17,985: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:37:17,985: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-28 16:37:17,995: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45554/
[rosmaster.master][INFO] 2017-09-28 16:37:17,996: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45554/
[rosmaster.master][INFO] 2017-09-28 16:37:17,998: +PUB [/rosout_agg] /rosout http://ubuntu:45554/
[rosmaster.master][INFO] 2017-09-28 16:37:18,001: +SUB [/rosout] /rosout http://ubuntu:45554/
[rosmaster.master][INFO] 2017-09-28 16:37:18,123: +PUB [/rosout] /mask http://ubuntu:40927/
[rosmaster.master][INFO] 2017-09-28 16:37:18,124: +SERVICE [/mask/get_loggers] /mask http://ubuntu:40927/
[rosmaster.master][INFO] 2017-09-28 16:37:18,126: +SERVICE [/mask/set_logger_level] /mask http://ubuntu:40927/
[rosmaster.master][INFO] 2017-09-28 16:37:18,133: +PUB [/rosout] /camera http://ubuntu:46862/
[rosmaster.master][INFO] 2017-09-28 16:37:18,134: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46862/
[rosmaster.master][INFO] 2017-09-28 16:37:18,136: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46862/
[rosmaster.master][INFO] 2017-09-28 16:37:18,148: publisherUpdate[/rosout] -> http://ubuntu:45554/ ['http://ubuntu:40927/']
[rosmaster.master][INFO] 2017-09-28 16:37:18,151: publisherUpdate[/rosout] -> http://ubuntu:45554/ ['http://ubuntu:40927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:37:18,151: publisherUpdate[/rosout] -> http://ubuntu:45554/ ['http://ubuntu:40927/', 'http://ubuntu:46862/']
[rosmaster.master][INFO] 2017-09-28 16:37:18,152: publisherUpdate[/rosout] -> http://ubuntu:45554/ ['http://ubuntu:40927/', 'http://ubuntu:46862/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-28 16:37:18,154: +PUB [/rosout] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,155: +SERVICE [/view/get_loggers] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,161: +SERVICE [/view/set_logger_level] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,169: +SUB [/tf] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,179: +SUB [/tf_static] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,188: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46862/
[rosmaster.master][INFO] 2017-09-28 16:37:18,222: +PUB [/image/screenpoint] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,223: +PUB [/image/screenpoint_array] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,224: +PUB [/image/screenrectangle] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,227: +PUB [/image/screenrectangle_image] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,227: +PUB [/image/movepoint] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,228: +PUB [/image/foreground] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,229: +PUB [/image/background] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,229: +PUB [/image/foreground_rect] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,230: +PUB [/image/background_rect] /view http://ubuntu:37453/
[rosmaster.master][INFO] 2017-09-28 16:37:18,231: +PUB [/image/line] /view http://ubuntu:37453/
