[rosmaster.main][INFO] 2017-09-21 19:44:37,735: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-21 19:44:37,736: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-21 19:44:37,737: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-21 19:44:37,737: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:44:37,737: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-21 19:44:37,738: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-21 19:44:37,874: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:44:37,876: +PARAM [/roslaunch/uris/host_ubuntu__34043] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:44:37,954: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:44:37,954: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:44:37,954: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-21 19:44:38,040: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:45238/
[rosmaster.master][INFO] 2017-09-21 19:44:38,042: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:45238/
[rosmaster.master][INFO] 2017-09-21 19:44:38,050: +PUB [/rosout_agg] /rosout http://ubuntu:45238/
[rosmaster.master][INFO] 2017-09-21 19:44:38,062: +SUB [/rosout] /rosout http://ubuntu:45238/
[rosmaster.master][INFO] 2017-09-21 19:44:38,223: +PUB [/rosout] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,225: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,226: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,240: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/']
[rosmaster.master][INFO] 2017-09-21 19:44:38,242: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:44:38,285: +PUB [/rosout] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,287: +SERVICE [/view/get_loggers] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,288: +SERVICE [/view/set_logger_level] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,301: +SUB [/tf] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,314: +SUB [/tf_static] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,341: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/', 'http://ubuntu:44019/']
[rosmaster.master][INFO] 2017-09-21 19:44:38,342: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/', 'http://ubuntu:44019/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:44:38,411: +PUB [/image/screenpoint] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,413: +PUB [/image/screenpoint_array] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,414: +PUB [/image/screenrectangle] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,415: +PUB [/image/screenrectangle_image] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,415: +PUB [/image/movepoint] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,416: +PUB [/image/foreground] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,417: +PUB [/image/background] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,418: +PUB [/image/foreground_rect] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,421: +PUB [/image/background_rect] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,422: +PUB [/rosout] /camera http://ubuntu:36998/
[rosmaster.master][INFO] 2017-09-21 19:44:38,425: +PUB [/image/line] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,426: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36998/
[rosmaster.master][INFO] 2017-09-21 19:44:38,427: +PUB [/image/poly] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,427: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36998/
[rosmaster.master][INFO] 2017-09-21 19:44:38,442: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/', 'http://ubuntu:44019/', 'http://ubuntu:36998/']
[rosmaster.master][INFO] 2017-09-21 19:44:38,445: publisherUpdate[/rosout] -> http://ubuntu:45238/ ['http://ubuntu:39177/', 'http://ubuntu:44019/', 'http://ubuntu:36998/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-21 19:44:38,520: +SUB [/camera/image_raw] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,565: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:36998/
[rosmaster.master][INFO] 2017-09-21 19:44:38,584: +PUB [/image_marked/compressedDepth] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,585: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,585: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,586: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,590: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,591: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,591: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,594: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,594: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,597: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-21 19:44:38,605: +PUB [/image/compressedDepth] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,606: +SERVICE [/image/compressedDepth/set_parameters] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,607: +PUB [/image/compressedDepth/parameter_descriptions] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,607: +PUB [/image/compressedDepth/parameter_updates] /image_converter http://ubuntu:39177/
[rosmaster.master][INFO] 2017-09-21 19:44:38,610: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,614: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,614: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,615: +PARAM [/image/compressedDepth/depth_max] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,616: +PARAM [/image/compressedDepth/depth_quantization] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,616: +PARAM [/image/compressedDepth/png_level] by /image_converter
[rosmaster.master][INFO] 2017-09-21 19:44:38,896: +PUB [/image_marked/compressed] /view http://ubuntu:44019/
[rosmaster.master][INFO] 2017-09-21 19:44:38,897: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:44019/
