[rosmaster.main][INFO] 2017-09-26 17:01:12,764: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 17:01:12,764: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 17:01:12,765: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-26 17:01:12,765: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 17:01:12,766: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 17:01:12,766: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-26 17:01:12,818: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:01:12,820: +PARAM [/roslaunch/uris/host_ubuntu__33645] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:01:12,891: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:01:12,892: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:01:12,892: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 17:01:12,902: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41669/
[rosmaster.master][INFO] 2017-09-26 17:01:12,910: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41669/
[rosmaster.master][INFO] 2017-09-26 17:01:12,912: +PUB [/rosout_agg] /rosout http://ubuntu:41669/
[rosmaster.master][INFO] 2017-09-26 17:01:12,917: +SUB [/rosout] /rosout http://ubuntu:41669/
[rosmaster.master][INFO] 2017-09-26 17:01:13,070: +PUB [/rosout] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,071: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,072: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,127: +PUB [/rosout] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,128: +SERVICE [/view/get_loggers] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,131: +SERVICE [/view/set_logger_level] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,138: +SUB [/tf] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,152: +SUB [/tf_static] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,167: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/']
[rosmaster.master][INFO] 2017-09-26 17:01:13,170: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:01:13,170: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/', 'http://ubuntu:41246/']
[rosmaster.master][INFO] 2017-09-26 17:01:13,171: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/', 'http://ubuntu:41246/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:01:13,173: +PUB [/rosout] /camera http://ubuntu:36019/
[rosmaster.master][INFO] 2017-09-26 17:01:13,176: +SERVICE [/camera/get_loggers] /camera http://ubuntu:36019/
[rosmaster.master][INFO] 2017-09-26 17:01:13,179: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:36019/
[rosmaster.master][INFO] 2017-09-26 17:01:13,224: +PUB [/image/screenpoint] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,225: +PUB [/image/screenpoint_array] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,226: +PUB [/image/screenrectangle] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,227: +PUB [/image/screenrectangle_image] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,228: +PUB [/image/movepoint] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,228: +PUB [/image/foreground] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,229: +PUB [/image/background] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,229: +PUB [/image/foreground_rect] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,234: +PUB [/image/background_rect] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,235: +PUB [/image/line] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,235: +PUB [/image/poly] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,248: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:36019/
[rosmaster.master][INFO] 2017-09-26 17:01:13,264: +SUB [/camera/image_raw] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,269: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/', 'http://ubuntu:41246/', 'http://ubuntu:36019/']
[rosmaster.master][INFO] 2017-09-26 17:01:13,270: publisherUpdate[/rosout] -> http://ubuntu:41669/ ['http://ubuntu:35491/', 'http://ubuntu:41246/', 'http://ubuntu:36019/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 17:01:13,326: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,328: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,329: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,330: +PUB [/image_marked/compressedDepth] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,332: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:35491/
[rosmaster.master][INFO] 2017-09-26 17:01:13,333: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,335: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,337: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:41246/
[rosmaster.master][INFO] 2017-09-26 17:01:13,339: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:01:13,341: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 17:01:13,343: +PARAM [/image/compressedDepth/png_level] by /mask_orange
