[rosmaster.main][INFO] 2017-09-19 17:52:32,011: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-19 17:52:32,011: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-19 17:52:32,012: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-19 17:52:32,012: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-19 17:52:32,012: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-19 17:52:32,013: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-19 17:52:32,050: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 17:52:32,051: +PARAM [/roslaunch/uris/host_ubuntu__46629] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 17:52:32,128: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 17:52:32,128: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 17:52:32,128: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-19 17:52:32,166: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35856/
[rosmaster.master][INFO] 2017-09-19 17:52:32,168: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35856/
[rosmaster.master][INFO] 2017-09-19 17:52:32,171: +PUB [/rosout_agg] /rosout http://ubuntu:35856/
[rosmaster.master][INFO] 2017-09-19 17:52:32,199: +SUB [/rosout] /rosout http://ubuntu:35856/
[rosmaster.master][INFO] 2017-09-19 17:52:32,300: +PUB [/rosout] /image_converter http://ubuntu:44683/
[rosmaster.master][INFO] 2017-09-19 17:52:32,301: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:44683/
[rosmaster.master][INFO] 2017-09-19 17:52:32,301: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:44683/
[rosmaster.master][INFO] 2017-09-19 17:52:32,313: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/']
[rosmaster.master][INFO] 2017-09-19 17:52:32,314: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 17:52:32,385: +PUB [/rosout] /view http://ubuntu:42868/
[rosmaster.master][INFO] 2017-09-19 17:52:32,386: +SERVICE [/view/get_loggers] /view http://ubuntu:42868/
[rosmaster.master][INFO] 2017-09-19 17:52:32,387: +SERVICE [/view/set_logger_level] /view http://ubuntu:42868/
[rosmaster.master][INFO] 2017-09-19 17:52:32,400: +PUB [/rosout] /camera http://ubuntu:42418/
[rosmaster.master][INFO] 2017-09-19 17:52:32,402: +SERVICE [/camera/get_loggers] /camera http://ubuntu:42418/
[rosmaster.master][INFO] 2017-09-19 17:52:32,404: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:42418/
[rosmaster.master][INFO] 2017-09-19 17:52:32,409: +SUB [/tf] /view http://ubuntu:42868/
[rosmaster.master][INFO] 2017-09-19 17:52:32,414: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/', 'http://ubuntu:42868/']
[rosmaster.master][INFO] 2017-09-19 17:52:32,415: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/', 'http://ubuntu:42868/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 17:52:32,415: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/', 'http://ubuntu:42868/', 'http://ubuntu:42418/']
[rosmaster.master][INFO] 2017-09-19 17:52:32,415: publisherUpdate[/rosout] -> http://ubuntu:35856/ ['http://ubuntu:44683/', 'http://ubuntu:42868/', 'http://ubuntu:42418/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-19 17:52:32,425: +SUB [/tf_static] /view http://ubuntu:42868/
