[rosmaster.main][INFO] 2017-09-30 13:21:48,157: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-30 13:21:48,157: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-30 13:21:48,158: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-30 13:21:48,158: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-30 13:21:48,158: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-30 13:21:48,158: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-30 13:21:48,202: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 13:21:48,204: +PARAM [/roslaunch/uris/host_ubuntu__33611] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 13:21:48,291: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 13:21:48,291: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 13:21:48,291: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 13:21:48,320: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37216/
[rosmaster.master][INFO] 2017-09-30 13:21:48,321: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37216/
[rosmaster.master][INFO] 2017-09-30 13:21:48,324: +PUB [/rosout_agg] /rosout http://ubuntu:37216/
[rosmaster.master][INFO] 2017-09-30 13:21:48,369: +SUB [/rosout] /rosout http://ubuntu:37216/
[rosmaster.master][INFO] 2017-09-30 13:21:48,484: +PUB [/rosout] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,485: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,485: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,562: +PUB [/rosout] /camera http://ubuntu:46279/
[rosmaster.master][INFO] 2017-09-30 13:21:48,564: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46279/
[rosmaster.master][INFO] 2017-09-30 13:21:48,567: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46279/
[rosmaster.master][INFO] 2017-09-30 13:21:48,570: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/']
[rosmaster.master][INFO] 2017-09-30 13:21:48,576: +PUB [/rosout] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,577: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 13:21:48,577: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/', 'http://ubuntu:46279/']
[rosmaster.master][INFO] 2017-09-30 13:21:48,581: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/', 'http://ubuntu:46279/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 13:21:48,581: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/', 'http://ubuntu:46279/', 'http://ubuntu:40512/']
[rosmaster.master][INFO] 2017-09-30 13:21:48,586: publisherUpdate[/rosout] -> http://ubuntu:37216/ ['http://ubuntu:38772/', 'http://ubuntu:46279/', 'http://ubuntu:40512/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 13:21:48,594: +SERVICE [/view/get_loggers] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,598: +SERVICE [/view/set_logger_level] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,625: +SUB [/tf] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,643: +SUB [/tf_static] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,694: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46279/
[rosmaster.master][INFO] 2017-09-30 13:21:48,718: +SUB [/camera/image_raw] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,721: +PUB [/image/screenpoint] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,722: +PUB [/image/screenpoint_array] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,723: +PUB [/image/screenrectangle] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,723: +PUB [/image/screenrectangle_image] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,725: +PUB [/image/movepoint] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,726: +PUB [/image/foreground] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,731: +PUB [/image/background] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,732: +PUB [/image/foreground_rect] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,733: +PUB [/image/background_rect] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,735: +PUB [/image/line] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,737: +PUB [/image/poly] /view http://ubuntu:40512/
[rosmaster.master][INFO] 2017-09-30 13:21:48,813: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,818: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,821: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,822: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:38772/
[rosmaster.master][INFO] 2017-09-30 13:21:48,834: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 13:21:48,837: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 13:21:48,841: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-30 13:21:48,842: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
