[rosmaster.main][INFO] 2017-09-26 16:25:32,812: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-26 16:25:32,812: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-26 16:25:32,826: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-26 16:25:32,826: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 16:25:32,826: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-26 16:25:32,827: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-26 16:25:32,887: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 16:25:32,889: +PARAM [/roslaunch/uris/host_ubuntu__44364] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 16:25:33,025: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 16:25:33,025: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 16:25:33,025: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-26 16:25:33,099: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:43379/
[rosmaster.master][INFO] 2017-09-26 16:25:33,100: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:43379/
[rosmaster.master][INFO] 2017-09-26 16:25:33,102: +PUB [/rosout_agg] /rosout http://ubuntu:43379/
[rosmaster.master][INFO] 2017-09-26 16:25:33,109: +SUB [/rosout] /rosout http://ubuntu:43379/
[rosmaster.master][INFO] 2017-09-26 16:25:33,353: +PUB [/rosout] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:33,354: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:33,355: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:33,416: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/']
[rosmaster.master][INFO] 2017-09-26 16:25:33,418: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 16:25:33,485: +PUB [/rosout] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,486: +SERVICE [/view/get_loggers] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,487: +SERVICE [/view/set_logger_level] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,498: +SUB [/tf] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,511: +SUB [/tf_static] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,517: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/', 'http://ubuntu:34465/']
[rosmaster.master][INFO] 2017-09-26 16:25:33,518: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/', 'http://ubuntu:34465/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 16:25:33,535: +PUB [/rosout] /camera http://ubuntu:46757/
[rosmaster.master][INFO] 2017-09-26 16:25:33,536: +SERVICE [/camera/get_loggers] /camera http://ubuntu:46757/
[rosmaster.master][INFO] 2017-09-26 16:25:33,537: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:46757/
[rosmaster.master][INFO] 2017-09-26 16:25:33,619: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/', 'http://ubuntu:34465/', 'http://ubuntu:46757/']
[rosmaster.master][INFO] 2017-09-26 16:25:33,624: publisherUpdate[/rosout] -> http://ubuntu:43379/ ['http://ubuntu:34953/', 'http://ubuntu:34465/', 'http://ubuntu:46757/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-26 16:25:33,677: +PUB [/image/screenpoint] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,678: +PUB [/image/screenpoint_array] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,679: +PUB [/image/screenrectangle] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,680: +PUB [/image/screenrectangle_image] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,682: +PUB [/image/movepoint] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,683: +PUB [/image/foreground] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,688: +PUB [/image/background] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,692: +PUB [/image/foreground_rect] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,695: +PUB [/image/background_rect] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,704: +PUB [/image/line] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,706: +PUB [/image/poly] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:33,716: +SERVICE [/camera/set_camera_info] /camera http://ubuntu:46757/
[rosmaster.master][INFO] 2017-09-26 16:25:33,776: +SUB [/camera/image_raw] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,102: +PUB [/image_marked/compressedDepth] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,103: +SERVICE [/image_marked/compressedDepth/set_parameters] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,105: +PUB [/image_marked/compressedDepth/parameter_descriptions] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,106: +PUB [/image_marked/compressedDepth/parameter_updates] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,114: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,117: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,119: +PUB [/image/compressedDepth] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,119: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,122: +SERVICE [/image/compressedDepth/set_parameters] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,123: +PARAM [/image_marked/compressedDepth/depth_max] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,124: +PUB [/image/compressedDepth/parameter_descriptions] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,126: +PARAM [/image_marked/compressedDepth/depth_quantization] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,128: +PUB [/image/compressedDepth/parameter_updates] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,129: +PARAM [/image_marked/compressedDepth/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,139: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,143: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,144: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,146: +PARAM [/image/compressedDepth/depth_max] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,146: +PARAM [/image/compressedDepth/depth_quantization] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,149: +PARAM [/image/compressedDepth/png_level] by /mask_orange
[rosmaster.master][INFO] 2017-09-26 16:25:34,219: +PUB [/image_marked/compressed] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,220: +SERVICE [/image_marked/compressed/set_parameters] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,221: +PUB [/image_marked/compressed/parameter_descriptions] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,222: +PUB [/image_marked/compressed/parameter_updates] /view http://ubuntu:34465/
[rosmaster.master][INFO] 2017-09-26 16:25:34,229: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,232: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,233: +PARAM [/image_marked/compressed/png_level] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,236: +PARAM [/image_marked/compressed/format] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,238: +PUB [/image/compressed] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,240: +PARAM [/image_marked/compressed/jpeg_quality] by /view
[rosmaster.master][INFO] 2017-09-26 16:25:34,241: +SERVICE [/image/compressed/set_parameters] /mask_orange http://ubuntu:34953/
[rosmaster.master][INFO] 2017-09-26 16:25:34,242: +PARAM [/image_marked/compressed/png_level] by /view
