[rosmaster.main][INFO] 2017-09-13 16:19:34,504: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-13 16:19:34,505: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-13 16:19:34,505: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-09-13 16:19:34,505: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:19:34,505: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-13 16:19:34,506: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-13 16:19:34,611: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:19:34,624: +PARAM [/roslaunch/uris/host_ubuntu__33652] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:19:34,695: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:19:34,695: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-13 16:19:34,756: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:36133/
[rosmaster.master][INFO] 2017-09-13 16:19:34,757: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:36133/
[rosmaster.master][INFO] 2017-09-13 16:19:34,764: +PUB [/rosout_agg] /rosout http://ubuntu:36133/
[rosmaster.master][INFO] 2017-09-13 16:19:34,796: +SUB [/rosout] /rosout http://ubuntu:36133/
[rosmaster.master][INFO] 2017-09-13 16:19:34,911: +PUB [/rosout] /image_converter http://ubuntu:37804/
[rosmaster.master][INFO] 2017-09-13 16:19:34,912: +SERVICE [/image_converter/get_loggers] /image_converter http://ubuntu:37804/
[rosmaster.master][INFO] 2017-09-13 16:19:34,914: +SERVICE [/image_converter/set_logger_level] /image_converter http://ubuntu:37804/
[rosmaster.master][INFO] 2017-09-13 16:19:34,980: +PUB [/rosout] /view http://ubuntu:44223/
[rosmaster.master][INFO] 2017-09-13 16:19:34,981: +SERVICE [/view/get_loggers] /view http://ubuntu:44223/
[rosmaster.master][INFO] 2017-09-13 16:19:34,982: +SERVICE [/view/set_logger_level] /view http://ubuntu:44223/
[rosmaster.master][INFO] 2017-09-13 16:19:34,991: +SUB [/tf] /view http://ubuntu:44223/
[rosmaster.master][INFO] 2017-09-13 16:19:35,008: publisherUpdate[/rosout] -> http://ubuntu:36133/ ['http://ubuntu:37804/']
