[rosmaster.main][INFO] 2017-09-30 15:09:21,033: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-09-30 15:09:21,033: Starting ROS Master Node
[xmlrpc][INFO] 2017-09-30 15:09:21,033: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-09-30 15:09:21,034: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2017-09-30 15:09:21,034: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-09-30 15:09:21,034: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2017-09-30 15:09:21,056: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 15:09:21,057: +PARAM [/roslaunch/uris/host_ubuntu__34790] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 15:09:21,130: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 15:09:21,130: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 15:09:21,131: +PARAM [/camera/device_id] by /roslaunch
[rosmaster.master][INFO] 2017-09-30 15:09:21,148: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:40859/
[rosmaster.master][INFO] 2017-09-30 15:09:21,149: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:40859/
[rosmaster.master][INFO] 2017-09-30 15:09:21,158: +PUB [/rosout_agg] /rosout http://ubuntu:40859/
[rosmaster.master][INFO] 2017-09-30 15:09:21,172: +SUB [/rosout] /rosout http://ubuntu:40859/
[rosmaster.master][INFO] 2017-09-30 15:09:21,307: +PUB [/rosout] /mask_orange http://ubuntu:41975/
[rosmaster.master][INFO] 2017-09-30 15:09:21,308: +SERVICE [/mask_orange/get_loggers] /mask_orange http://ubuntu:41975/
[rosmaster.master][INFO] 2017-09-30 15:09:21,309: +SERVICE [/mask_orange/set_logger_level] /mask_orange http://ubuntu:41975/
[rosmaster.master][INFO] 2017-09-30 15:09:21,334: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/']
[rosmaster.master][INFO] 2017-09-30 15:09:21,336: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 15:09:21,359: +PUB [/rosout] /camera http://ubuntu:44883/
[rosmaster.master][INFO] 2017-09-30 15:09:21,360: +SERVICE [/camera/get_loggers] /camera http://ubuntu:44883/
[rosmaster.master][INFO] 2017-09-30 15:09:21,360: +SERVICE [/camera/set_logger_level] /camera http://ubuntu:44883/
[rosmaster.master][INFO] 2017-09-30 15:09:21,378: +PUB [/rosout] /view http://ubuntu:41566/
[rosmaster.master][INFO] 2017-09-30 15:09:21,382: +SERVICE [/view/get_loggers] /view http://ubuntu:41566/
[rosmaster.master][INFO] 2017-09-30 15:09:21,383: +SERVICE [/view/set_logger_level] /view http://ubuntu:41566/
[rosmaster.master][INFO] 2017-09-30 15:09:21,390: +SUB [/tf] /view http://ubuntu:41566/
[rosmaster.master][INFO] 2017-09-30 15:09:21,405: +SUB [/tf_static] /view http://ubuntu:41566/
[rosmaster.master][INFO] 2017-09-30 15:09:21,436: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/', 'http://ubuntu:44883/']
[rosmaster.master][INFO] 2017-09-30 15:09:21,436: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/', 'http://ubuntu:44883/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-09-30 15:09:21,436: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/', 'http://ubuntu:44883/', 'http://ubuntu:41566/']
[rosmaster.master][INFO] 2017-09-30 15:09:21,437: publisherUpdate[/rosout] -> http://ubuntu:40859/ ['http://ubuntu:41975/', 'http://ubuntu:44883/', 'http://ubuntu:41566/']: sec=0.00, result=[1, '', 0]
